Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,65.709999,65.750000,65.540001,65.589996,59.673260,718700
2015-12-31,65.430000,65.430000,64.870003,64.870003,59.018215,1652900
2016-01-04,64.029999,64.099998,63.380001,63.970001,58.199406,784400
2016-01-05,63.889999,64.129997,63.740002,64.089996,58.308575,1246900
2016-01-06,63.230000,63.549999,63.130001,63.470001,57.744507,559200
2016-01-07,62.619999,63.150002,62.529999,62.610001,56.962086,891400
2016-01-08,62.900002,62.950001,62.020000,62.060001,56.461704,905500
2016-01-11,62.570000,62.599998,61.779999,62.230000,56.616364,971000
2016-01-12,62.610001,62.650002,62.000000,62.430000,56.798325,937800
2016-01-13,62.720001,62.799999,61.689999,61.830002,56.252449,892500
2016-01-14,61.959999,62.529999,61.619999,62.270000,56.652756,1176900
2016-01-15,60.950001,61.250000,60.520000,60.889999,55.397240,1316100
2016-01-19,61.599998,61.700001,60.779999,61.119999,55.606491,1432100
2016-01-20,60.310001,60.400002,59.220001,60.150002,54.723999,1009400
2016-01-21,59.790001,60.500000,59.419998,60.209999,54.778584,971800
2016-01-22,61.299999,61.730000,61.200001,61.639999,56.079586,1218800
2016-01-25,61.619999,61.759998,61.209999,61.270000,55.742962,1529100
2016-01-26,61.560001,62.180000,61.490002,62.160000,56.552677,626400
2016-01-27,62.189999,62.680000,61.740002,61.970001,56.379818,745000
2016-01-28,62.590000,62.660000,61.950001,62.369999,56.743732,681600
2016-01-29,62.740002,63.509998,62.660000,63.500000,57.771797,1054800
2016-02-01,63.270000,63.880001,63.180000,63.740002,57.990150,819900
2016-02-02,63.400002,63.590000,62.910000,63.110001,57.416981,841400
2016-02-03,63.770000,63.939999,62.959999,63.939999,58.172108,1264100
2016-02-04,63.490002,63.849998,63.220001,63.650002,57.908272,1257900
2016-02-05,63.380001,63.389999,62.520000,62.689999,57.034866,1254800
2016-02-08,62.270000,62.450001,61.790001,62.270000,56.652756,1428600
2016-02-09,61.490002,62.240002,61.250000,61.959999,56.370712,845300
2016-02-10,61.990002,62.160000,61.590000,61.669998,56.106880,1020300
2016-02-11,61.130001,61.349998,60.779999,61.180000,55.661083,1074900
2016-02-12,61.230000,61.889999,61.049999,61.889999,56.307034,1129300
2016-02-16,62.700001,62.759998,62.200001,62.750000,57.089458,853800
2016-02-17,62.939999,63.419998,62.910000,63.320000,57.608036,1542300
2016-02-18,63.470001,63.470001,63.110001,63.189999,57.489761,979600
