Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,41.869999,41.919998,41.330002,41.349998,37.552284,19400
2015-12-31,41.270000,41.700001,41.090000,41.540001,37.724834,10800
2016-01-04,40.880001,41.000000,40.330002,40.599998,36.871170,11000
2016-01-05,40.509998,41.029999,40.509998,40.830002,37.080048,3000
2016-01-06,39.689999,40.330002,39.689999,40.330002,36.625965,4500
2016-01-07,39.759998,39.759998,39.480000,39.689999,36.044743,3300
2016-01-08,39.639999,39.650002,39.320000,39.320000,35.708725,2300
2016-01-11,39.580002,39.580002,39.580002,39.580002,35.944851,1600
2016-01-12,39.090000,39.439999,38.840000,39.380001,35.763222,4200
2016-01-13,39.849998,39.849998,38.750000,38.840000,35.272816,9900
2016-01-14,38.820000,39.740002,38.820000,39.619999,35.981174,17200
2016-01-15,38.540001,38.849998,38.080002,38.560001,35.018528,3400
2016-01-19,38.650002,39.000000,38.509998,38.580002,35.036690,9500
2016-01-20,38.000000,38.009998,37.500000,37.900002,34.419147,4000
2016-01-21,38.380001,38.930000,38.380001,38.930000,35.354546,5300
2016-01-22,39.549999,40.110001,39.549999,39.840000,36.180969,4000
2016-01-25,39.450001,39.770000,39.360001,39.369999,35.754135,6800
2016-01-26,39.910000,40.009998,39.669998,40.009998,36.335361,3300
2016-01-27,40.029999,40.310001,39.820000,39.820000,36.162804,3500
2016-01-28,40.369999,40.650002,40.130001,40.459999,36.744019,29900
2016-01-29,40.660000,41.130001,40.660000,41.020000,37.252598,58300
2016-02-01,40.910000,41.459999,40.869999,41.459999,37.652184,5200
2016-02-02,41.000000,41.000000,40.560001,40.720001,36.980152,4100
2016-02-03,41.419998,41.450001,41.200001,41.290001,37.497799,7800
2016-02-04,41.570000,41.650002,41.230000,41.590000,37.770248,3800
2016-02-05,40.930000,41.200001,40.910000,41.169998,37.388817,2600
2016-02-08,40.650002,40.650002,39.660000,40.139999,36.453415,19400
2016-02-09,39.889999,40.349998,39.820000,40.049999,36.371681,3300
2016-02-10,39.900002,40.270000,39.900002,40.270000,36.571476,1200
2016-02-11,39.500000,39.680000,39.189999,39.459999,35.835865,5700
2016-02-12,39.930000,40.029999,39.630001,40.029999,36.353516,5100
2016-02-16,40.500000,40.700001,40.419998,40.700001,36.961983,1000
2016-02-17,40.900002,41.189999,40.900002,41.099998,37.325245,1400
2016-02-18,41.029999,41.189999,41.029999,41.189999,37.406979,400
2016-02-19,41.099998,41.349998,40.970001,40.990002,37.225353,2800
2016-02-22,41.919998,41.919998,41.639999,41.900002,38.051773,3600
2016-02-23,41.590000,41.669998,41.220001,41.220001,37.434227,20300
2016-02-24,40.950001,41.070000,40.939999,40.939999,37.179935,7300
2016-02-25,41.410000,41.660000,41.240002,41.660000,37.833817,15700
2016-02-26,41.500000,41.540001,41.209999,41.520000,37.706673,9400
2016-02-29,41.290001,41.660000,41.230000,41.230000,37.443306,2300
2016-03-01,41.820000,42.150002,41.669998,42.150002,38.278812,13100
2016-03-02,41.740002,41.990002,41.740002,41.900002,38.051773,1900
2016-03-03,41.950001,42.400002,41.950001,42.270000,38.387794,19400
2016-03-04,42.450001,43.040001,42.450001,42.790001,38.860031,5100
2016-03-07,42.540001,42.730000,42.540001,42.599998,38.687481,9200
2016-03-08,42.740002,42.740002,42.740002,42.740002,38.814629,500
2016-03-09,42.770000,42.770000,42.750000,42.750000,38.823708,800
2016-03-10,43.000000,43.000000,42.750000,42.930000,38.987179,2200
2016-03-11,43.439999,43.880001,43.439999,43.590000,39.586555,3400
2016-03-14,43.450001,43.740002,43.450001,43.669998,39.659206,3600
2016-03-15,43.049999,43.230000,43.029999,43.230000,39.259624,2400
2016-03-16,43.150002,43.169998,42.990002,43.009998,39.059826,9300
2016-03-17,44.310001,44.560001,44.299999,44.560001,40.467472,4800
2016-03-18,44.380001,44.509998,44.200001,44.230000,40.167778,2100
2016-03-21,44.340000,44.340000,44.060001,44.150002,40.095127,4800
2016-03-22,43.919998,44.310001,43.840000,44.000000,39.958900,3700
2016-03-23,44.000000,44.000000,43.560001,43.560001,39.559315,1400
2016-03-24,43.360001,43.860001,43.360001,43.580002,39.577477,3900
2016-03-28,44.310001,44.310001,43.709999,43.790001,39.768188,1000
2016-03-29,43.720001,44.470001,43.720001,44.470001,40.385735,1700
2016-03-30,44.700001,44.959999,44.639999,44.720001,40.612778,2000
2016-03-31,44.880001,45.009998,44.840000,45.000000,40.867058,1200
2016-04-01,44.419998,44.480000,44.169998,44.169998,40.113285,2100
2016-04-04,44.900002,44.900002,44.189999,44.230000,40.167778,2800
2016-04-05,43.650002,43.650002,43.549999,43.549999,39.550228,500
2016-04-06,43.549999,43.549999,43.549999,43.549999,39.550228,0
2016-04-07,43.720001,43.830002,43.549999,43.549999,39.550228,700
2016-04-08,44.259998,44.389999,44.259998,44.389999,40.313084,800
2016-04-11,44.900002,44.900002,44.570000,44.570000,40.476547,800
2016-04-12,44.880001,44.889999,44.880001,44.889999,40.767162,500
2016-04-13,45.119999,45.290001,45.119999,45.290001,41.130428,1500
2016-04-14,45.090000,45.200001,45.000000,45.040001,40.903381,14500
2016-04-15,45.180000,45.180000,44.900002,44.950001,40.821655,2400
2016-04-18,44.950001,44.950001,44.950001,44.950001,40.821655,0
2016-04-19,45.700001,46.000000,45.560001,46.000000,41.775215,3300
2016-04-20,45.930000,45.990002,45.630001,45.720001,41.520935,3900
2016-04-21,45.299999,45.470001,44.880001,44.880001,40.758083,2800
2016-04-22,45.070000,45.160000,44.869999,44.889999,40.767162,24300
2016-04-25,45.009998,45.049999,44.689999,44.959999,40.830730,2400
2016-04-26,45.049999,45.410000,45.049999,45.090000,40.948795,3300
2016-04-27,45.660000,45.660000,45.290001,45.290001,41.130428,1000
2016-04-28,45.700001,45.980000,45.700001,45.970001,41.747971,1000
2016-04-29,45.779999,45.889999,45.310001,45.889999,41.675320,3000
2016-05-02,46.139999,46.180000,45.910000,45.930000,41.711643,2100
2016-05-03,45.830002,45.830002,45.529999,45.580002,41.393795,1900
2016-05-04,45.450001,45.450001,45.310001,45.439999,41.266644,3100
2016-05-05,45.820000,45.849998,45.410000,45.529999,41.348381,1700
2016-05-06,45.459999,45.459999,45.250000,45.400002,41.230324,1300
2016-05-09,45.270000,45.279999,45.099998,45.279999,41.121342,1400
2016-05-10,45.700001,45.759998,45.590000,45.759998,41.557259,61700
2016-05-11,45.400002,45.740002,45.320000,45.740002,41.539097,2100
2016-05-12,45.970001,45.970001,45.790001,45.790001,41.584507,1600
2016-05-13,45.700001,45.700001,45.220001,45.220001,41.066856,900
2016-05-16,45.950001,46.049999,45.630001,46.049999,41.820625,2700
2016-05-17,45.980000,45.980000,45.700001,45.700001,41.502769,1000
2016-05-18,45.689999,45.689999,44.980000,44.980000,40.848900,2600
2016-05-19,44.889999,45.119999,44.700001,45.119999,40.976036,3500
2016-05-20,45.259998,45.349998,45.070000,45.279999,41.121342,5500
2016-05-23,45.520000,45.520000,45.090000,45.279999,41.121342,13900
2016-05-24,45.450001,45.470001,45.180000,45.299999,41.139503,26800
2016-05-25,45.860001,45.860001,45.860001,45.860001,41.648083,300
2016-05-26,45.820000,45.860001,45.480000,45.840000,41.629910,4600
2016-05-27,45.669998,45.930000,45.669998,45.779999,41.575420,2200
2016-05-31,46.099998,46.099998,45.849998,45.860001,41.648083,1400
2016-06-01,45.669998,45.700001,45.500000,45.680000,41.484608,6500
2016-06-02,45.599998,45.770000,45.590000,45.770000,41.566341,900
2016-06-03,46.509998,46.700001,46.209999,46.700001,42.410931,21800
2016-06-06,46.430000,46.730000,46.430000,46.689999,42.401844,19200
2016-06-07,46.970001,47.230000,46.910000,47.230000,42.892254,196100
2016-06-08,47.099998,47.320000,46.990002,47.320000,42.973988,41400
2016-06-09,47.099998,47.180000,46.830002,47.119999,42.792347,23600
2016-06-10,46.459999,46.689999,46.090000,46.270000,42.020416,41000
2016-06-13,46.060001,46.259998,45.900002,45.910000,41.693478,2000
2016-06-14,45.700001,45.700001,45.419998,45.630001,41.439198,4100
2016-06-15,45.799999,45.799999,45.549999,45.709999,41.511848,3200
2016-06-16,45.330002,45.799999,45.330002,45.799999,41.593586,7000
2016-06-17,45.139999,45.410000,45.139999,45.410000,41.812534,3400
2016-06-20,46.040001,46.279999,46.040001,46.099998,42.447872,1500
2016-06-21,46.139999,46.459999,46.049999,46.459999,42.779354,2200
2016-06-22,46.480000,46.549999,46.200001,46.200001,42.539951,1700
2016-06-23,46.939999,46.939999,46.619999,46.849998,43.138454,3400
2016-06-24,44.470001,45.240002,44.470001,44.799999,41.250858,4800
2016-06-27,43.709999,44.060001,43.709999,44.000000,40.514240,4200
2016-06-28,44.709999,45.060001,44.630001,45.060001,41.490265,3900
2016-06-29,45.680000,45.889999,45.680000,45.889999,42.254513,1000
2016-06-30,46.270000,46.689999,45.990002,46.680000,42.981926,14700
2016-07-01,47.090000,47.090000,46.540001,46.610001,42.917469,3700
2016-07-05,46.669998,46.669998,46.160000,46.160000,42.503124,3500
2016-07-06,46.049999,46.599998,45.930000,46.480000,42.797768,8600
2016-07-07,46.740002,46.740002,46.060001,46.099998,42.447872,3700
2016-07-08,46.570000,46.680000,46.430000,46.590000,42.899055,2000
2016-07-11,46.900002,47.200001,46.900002,47.009998,43.285774,7300
2016-07-12,47.090000,47.389999,47.090000,47.330002,43.580437,92800
2016-07-13,46.869999,47.160000,46.869999,46.939999,43.221325,5300
2016-07-14,47.270000,47.299999,47.130001,47.270000,43.525188,7400
2016-07-15,47.310001,47.430000,46.910000,47.080002,43.350235,2800
2016-07-18,47.189999,47.410000,47.160000,47.410000,43.654091,2600
2016-07-19,47.349998,47.349998,47.189999,47.290001,43.543598,3300
2016-07-20,47.410000,47.470001,47.310001,47.430000,43.672512,6000
2016-07-21,47.490002,47.490002,47.240002,47.240002,43.497559,6000
2016-07-22,47.639999,47.669998,47.340000,47.590000,43.819836,21100
