Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,24.608000,24.850000,24.530001,24.559999,22.901491,28000
2015-12-31,24.330000,24.559999,24.299999,24.299999,22.659050,25100
2016-01-04,23.700001,23.968000,23.700001,23.968000,22.349466,1000
2016-01-05,23.740000,23.950001,23.740000,23.950001,22.332685,19800
2016-01-06,23.570000,23.570000,23.450001,23.450001,21.866449,2800
2016-01-07,23.080000,23.160000,22.950001,23.070000,21.512108,21800
2016-01-08,23.570000,23.570000,22.889999,22.889999,21.344265,19500
2016-01-11,23.080000,23.080000,22.719999,22.840000,21.297642,3300
2016-01-12,22.930000,23.160000,22.802999,22.940001,21.390888,13300
2016-01-13,22.990000,23.080000,22.600000,22.600000,21.073851,13800
2016-01-14,22.840000,23.059999,22.680000,23.059999,21.502783,1300
2016-01-15,22.305000,22.305000,22.037001,22.240000,20.738163,228900
2016-01-19,22.170000,22.393999,22.170000,22.340000,20.831406,30100
2016-01-20,21.809999,22.135000,21.479000,22.100000,20.607613,501600
2016-01-21,21.840000,22.222000,21.840000,22.180000,20.682209,197000
2016-01-22,22.639999,22.747999,22.576000,22.747999,21.211855,37500
2016-01-25,22.330000,22.719999,22.330000,22.500000,20.980600,42600
2016-01-26,22.639999,22.879999,22.639999,22.770000,21.232367,296900
2016-01-27,22.840000,23.120001,22.648001,22.764000,21.226772,11100
2016-01-28,23.200001,23.200001,22.799999,22.959999,21.409540,30500
2016-01-29,23.139999,23.399000,23.010000,23.399000,21.818895,6400
2016-02-01,23.073000,23.400000,23.061001,23.340000,21.763878,24500
2016-02-02,23.309999,23.309999,22.730000,22.840000,21.297642,91800
2016-02-03,22.750000,23.056000,22.750000,23.056000,21.499058,12400
2016-02-04,22.900000,23.046000,22.900000,23.030001,21.474813,1700
2016-02-05,22.893000,22.980000,22.570000,22.709000,21.175484,12000
2016-02-08,22.590000,22.590000,22.063999,22.260000,20.756809,18900
2016-02-09,22.049999,22.200001,22.000000,22.200001,20.700863,246000
2016-02-10,22.480000,22.480000,22.091999,22.188999,20.690599,16600
2016-02-11,22.180000,22.180000,21.599001,21.850000,20.374495,6700
2016-02-12,22.045000,22.045000,21.700001,21.906000,20.426716,1800
2016-02-16,22.490000,22.500000,22.370001,22.500000,20.980600,41800
2016-02-17,22.180000,22.950001,22.180000,22.950001,21.400211,12200
2016-02-18,23.000000,23.080000,22.700001,23.039000,21.483202,5300
2016-02-19,22.617001,22.809999,22.615999,22.809999,21.269667,5100
2016-02-22,23.139999,23.139999,23.056000,23.129999,21.568058,8800
2016-02-23,22.889999,22.889999,22.750000,22.750000,21.213718,5900
2016-02-24,22.304001,22.770000,22.275999,22.770000,21.232367,255100
2016-02-25,22.737000,22.990000,22.737000,22.982000,21.430054,6100
2016-02-26,23.040001,23.090000,22.850000,22.850000,21.306969,238800
2016-02-29,22.809999,22.979000,22.790001,22.790001,21.251020,34200
2016-03-01,22.780001,23.360001,22.780001,23.360001,21.782528,60900
2016-03-02,23.209999,23.440001,23.120001,23.440001,21.857124,37700
2016-03-03,23.500000,23.639999,23.500000,23.639999,22.043619,101600
2016-03-04,23.750000,23.940001,23.642000,23.840000,22.230110,159200
2016-03-07,23.693001,23.830000,23.653999,23.780001,22.174164,75600
2016-03-08,23.599001,23.690001,23.530001,23.530001,21.941048,20500
2016-03-09,23.629999,23.770000,23.580000,23.700001,22.099569,53200
2016-03-10,24.070000,24.070000,23.330000,23.530001,21.941048,55300
2016-03-11,24.070000,24.230000,24.000000,24.209999,22.575129,12400
2016-03-14,25.080000,25.080000,24.110001,24.180000,22.547150,176000
2016-03-15,23.969999,23.980000,23.846001,23.980000,22.360661,22700
2016-03-16,23.950001,24.250000,23.830000,24.219999,22.584452,15300
2016-03-17,24.309999,24.450001,24.230000,24.450001,22.798920,14500
2016-03-18,24.430000,24.450001,24.299999,24.299999,22.659050,60500
2016-03-21,24.400000,24.450001,24.264999,24.270000,22.631077,41000
2016-03-22,24.230000,24.340000,24.160000,24.240000,22.603100,17200
2016-03-23,24.139999,24.139999,23.948000,23.990000,22.433846,8600
2016-03-24,23.799999,23.840000,23.719999,23.799999,22.256165,9300
2016-03-28,23.959999,24.021999,23.850000,24.020000,22.461897,10400
2016-03-29,23.830000,24.290001,23.830000,24.280001,22.705029,6400
