Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,18.379999,18.379999,18.379999,18.379999,16.670824,0
2015-12-31,18.159000,18.180000,18.149000,18.180000,16.489424,2900
2016-01-04,17.791000,17.830000,17.750000,17.830000,16.171970,2900
2016-01-05,17.850000,17.850000,17.839001,17.840000,16.181042,700
2016-01-06,17.540001,17.540001,17.540001,17.540001,15.908941,100
2016-01-07,17.219999,17.330000,17.219999,17.219999,15.618693,1200
2016-01-08,17.250000,17.250000,17.250000,17.250000,15.645905,200
2016-01-11,17.120001,17.120001,16.969999,17.090000,15.500784,5400
2016-01-12,17.129000,17.129000,17.013000,17.108999,15.518017,2700
2016-01-13,17.219999,17.219999,17.100000,17.100000,15.509855,900
2016-01-14,17.009001,17.209999,17.009001,17.209999,15.609624,2800
2016-01-15,16.480000,16.559999,16.480000,16.559999,15.020068,900
2016-01-19,16.730000,16.730000,16.730000,16.730000,15.174260,400
2016-01-20,16.170000,16.410000,16.170000,16.389999,14.865879,2900
2016-01-21,16.180000,16.480000,16.180000,16.430000,14.902160,4000
2016-01-22,16.749001,16.875999,16.749001,16.875999,15.306684,2100
2016-01-25,16.620001,16.780001,16.620001,16.656000,15.107144,4500
2016-01-26,16.879999,16.940001,16.789000,16.914000,15.341149,7800
2016-01-27,16.910000,17.090000,16.819000,16.819000,15.254983,15300
2016-01-28,17.099001,17.099001,16.752001,16.889999,15.319384,9800
2016-01-29,17.177999,17.179001,17.136999,17.148001,15.553389,2900
2016-02-01,17.100000,17.250000,17.100000,17.245001,15.641374,3900
2016-02-02,16.855000,16.855000,16.674999,16.743999,15.186958,6600
2016-02-03,16.760000,16.830000,16.490000,16.799999,15.237748,16300
2016-02-04,16.709999,16.740000,16.620001,16.730000,15.174260,5100
2016-02-05,16.719999,16.719999,16.400000,16.400000,14.874949,14200
2016-02-08,16.209999,16.270000,16.049999,16.260000,14.747967,34300
2016-02-09,16.030001,16.040001,15.865000,16.020000,14.530285,17100
2016-02-10,16.340000,16.340000,16.007999,16.040001,14.548425,21200
2016-02-11,16.040001,16.040001,15.580000,15.735000,14.271786,25900
2016-02-12,15.770000,15.990000,15.735000,15.990000,14.503076,21400
2016-02-16,16.410000,16.410000,16.205000,16.340000,14.820529,22200
2016-02-17,16.600000,16.700001,16.600000,16.690001,15.137980,177300
2016-02-18,16.761999,17.270000,16.535000,16.620001,15.074492,40500
2016-02-19,16.490000,16.535000,16.400000,16.530001,14.992860,14200
2016-02-22,16.820000,16.820000,16.700001,16.768999,15.209636,4000
2016-02-23,16.700001,16.719999,16.465000,16.510000,14.974720,31100
2016-02-24,16.510000,16.510000,16.141001,16.389999,14.865879,8200
2016-02-25,16.570000,16.660000,16.469999,16.660000,15.110769,6400
2016-02-26,16.799999,16.799999,16.690001,16.700001,15.147050,3700
2016-02-29,16.620001,16.730000,16.538000,16.600000,15.056351,3900
2016-03-01,16.860001,17.040001,16.799999,16.940001,15.364732,3500
2016-03-02,17.120001,17.150000,17.014999,17.150000,15.555202,3000
2016-03-03,17.173000,17.254999,17.145000,17.170000,15.573344,7300
2016-03-04,17.430000,17.430000,17.430000,17.430000,15.809168,600
2016-03-07,17.299999,17.379999,17.200001,17.261999,15.656789,5400
2016-03-08,17.219999,17.247999,17.070000,17.075001,15.487175,11000
2016-03-09,17.270000,17.270000,17.188000,17.230000,15.627765,2600
2016-03-10,17.360001,17.360001,16.952000,17.122000,15.529807,4800
2016-03-11,17.500000,17.600000,17.452999,17.600000,15.963359,63700
2016-03-14,17.598000,17.639999,17.514999,17.600000,15.963359,8100
2016-03-15,17.379999,17.379999,17.379999,17.379999,15.763815,600
2016-03-16,17.361000,17.469999,17.280001,17.469999,15.845448,9300
2016-03-17,17.549999,17.549999,17.549999,17.549999,15.918008,200
2016-03-18,18.120001,18.120001,17.518999,17.600000,15.963359,12300
2016-03-21,17.580000,17.580000,17.489000,17.513000,15.884447,1600
2016-03-22,17.500000,17.590000,17.490999,17.549999,15.918008,11900
2016-03-23,17.420000,17.420000,17.370001,17.370001,15.754745,600
2016-03-24,17.730000,18.000000,17.250000,17.469999,15.845448,9300
2016-03-28,17.379999,17.389999,17.200001,17.370001,15.754745,3700
2016-03-29,16.980000,17.430000,16.980000,17.430000,15.809168,3300
2016-03-30,17.570000,17.580000,17.434999,17.540001,15.908941,3800
2016-03-31,17.450001,17.450001,17.330000,17.379999,15.763815,11100
2016-04-01,17.610001,17.610001,17.080000,17.122000,15.529807,1800
2016-04-04,17.139999,17.148001,17.120001,17.129999,15.537064,3700
2016-04-05,16.830000,17.785000,16.749001,16.799999,15.237748,12200
2016-04-06,16.860001,17.040001,16.760000,17.040001,15.455437,19200
2016-04-07,16.837999,16.837999,16.799999,16.799999,15.237748,1608000
2016-04-08,17.110001,17.160000,17.049999,17.100000,15.509855,35600
2016-04-11,17.090000,17.160000,17.090000,17.120001,15.527995,800
2016-04-12,17.219999,17.379999,17.209999,17.327000,15.715745,118500
