Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,24.049999,24.049999,24.010000,24.049999,22.339476,24900
2015-12-31,23.920000,23.920000,23.719999,23.770000,22.079393,3900
2016-01-04,23.198999,23.469999,23.049999,23.469999,21.800730,27200
2016-01-05,23.209999,23.423000,23.141001,23.389999,21.726419,4700
2016-01-06,22.940001,23.030001,22.920000,22.940001,21.308428,16400
2016-01-07,22.676001,22.719999,22.629999,22.680000,21.066917,2000
2016-01-08,22.650000,22.650000,22.629999,22.629999,21.020472,1200
2016-01-11,22.590000,22.590000,22.320000,22.400000,20.806831,2200
2016-01-12,22.590000,22.990000,22.379999,22.410000,20.816120,5000
2016-01-13,22.576000,22.676001,22.520000,22.540001,20.936876,2700
2016-01-14,22.150000,22.690001,22.150000,22.650000,21.039051,21500
2016-01-15,21.709999,22.200001,21.709999,21.985001,20.421349,7600
2016-01-19,21.875999,21.875999,21.660000,21.690001,20.147333,500
2016-01-20,21.309999,21.740000,21.190001,21.190001,19.682892,6600
2016-01-21,21.580000,21.580000,21.410000,21.410000,19.887241,300
2016-01-22,22.049999,22.150000,22.000000,22.010000,20.444571,7300
2016-01-25,22.150000,22.150000,21.809999,21.809999,20.258793,2400
2016-01-26,22.100000,22.150000,21.895000,22.030001,20.463150,2400
2016-01-27,22.084999,22.150000,21.760000,21.760000,20.212351,7500
2016-01-28,22.184999,22.350000,22.139999,22.139999,20.565323,51800
2016-01-29,22.420000,22.660000,22.340000,22.340000,20.751101,1900
2016-02-01,22.440001,23.260000,22.440001,22.610001,21.001896,3300
2016-02-02,22.500000,22.500000,22.120001,22.120001,20.546747,4700
2016-02-03,22.181999,22.360001,22.100000,22.290001,20.704655,8400
2016-02-04,22.309999,22.430000,22.129999,22.129999,20.556034,4900
2016-02-05,22.090000,22.090000,21.770000,21.770000,20.221640,1500
2016-02-08,21.420000,21.440001,21.209999,21.370001,19.850088,4900
2016-02-09,21.400000,22.049999,21.180000,21.309999,19.794357,64800
2016-02-10,21.521999,21.521999,21.340000,21.350000,19.831512,700
2016-02-11,21.049999,21.049999,20.780001,20.940001,19.450676,800
2016-02-12,20.900999,21.430000,20.900999,21.020000,19.524981,15100
2016-02-16,21.650000,21.809999,21.570000,21.590000,20.054441,20500
2016-02-17,21.910000,22.112000,21.910000,22.059999,20.491014,800
2016-02-18,22.129999,22.709999,22.030001,22.030001,20.463150,23000
2016-02-19,22.030001,22.290001,22.030001,22.250000,20.667500,1300
2016-02-22,22.430000,22.480000,22.000000,22.030001,20.463150,3000
2016-02-23,22.190001,22.209999,21.709999,21.719999,20.175198,1600
2016-02-24,21.680000,21.719999,21.639999,21.700001,20.156622,2000
2016-02-25,21.850000,21.950001,21.820999,21.950001,20.388838,1000
2016-02-26,22.240000,22.240000,21.969999,21.969999,20.407415,1200
2016-02-29,22.129999,22.129999,21.910000,21.910000,20.351685,1100
2016-03-01,22.200001,22.520000,22.200001,22.410000,20.816120,36100
2016-03-02,22.299999,22.480000,22.299999,22.440001,20.843988,400
2016-03-03,22.540001,22.730000,22.530001,22.600000,20.992607,18100
2016-03-04,22.650000,22.950001,22.650000,22.830000,21.206249,13200
2016-03-07,22.520000,22.778000,22.520000,22.778000,21.157948,300
2016-03-08,22.490000,22.490000,22.490000,22.490000,20.890430,200
2016-03-09,22.480000,22.570000,22.459999,22.556999,20.952665,4000
2016-03-10,22.700001,22.719999,22.400000,22.410000,20.816120,1000
2016-03-11,23.080000,23.080000,22.860001,22.950001,21.317717,6100
2016-03-14,22.969999,22.969999,22.969999,22.969999,21.336290,200
2016-03-15,22.709999,22.750000,22.709999,22.750000,21.131939,400
2016-03-16,22.719999,22.889999,22.610001,22.889999,21.261980,3500
2016-03-17,23.180000,23.280001,23.180000,23.280001,21.624245,3900
2016-03-18,23.309999,23.309999,23.190001,23.195000,21.545290,1500
2016-03-21,23.195000,23.195000,23.195000,23.195000,21.545290,0
2016-03-22,23.195000,23.195000,23.195000,23.195000,21.545290,0
2016-03-23,23.195000,23.195000,23.195000,23.195000,21.545290,0
2016-03-24,23.195000,23.195000,23.195000,23.195000,21.545290,0
2016-03-28,23.010000,23.010000,23.010000,23.010000,21.373447,300
2016-03-29,23.049999,23.270000,23.049999,23.270000,21.614956,1800
