Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,25.450001,25.520000,25.375999,25.520000,23.607126,7100
2015-12-31,25.219999,25.290001,25.219999,25.240000,23.348118,1200
2016-01-04,24.730000,25.010000,24.500000,24.629999,22.783838,3600
2016-01-05,24.545000,25.420000,24.459999,25.410000,23.505371,24700
2016-01-06,24.250000,24.254999,24.190001,24.230000,22.413818,2000
2016-01-07,23.980000,24.219999,23.530001,23.830000,22.043804,7700
2016-01-08,23.750000,23.750000,23.520000,23.559999,21.794039,5500
2016-01-11,23.990000,23.990000,23.459999,23.549999,21.784792,12500
2016-01-12,23.850000,23.850000,23.510000,23.620001,21.849545,37200
2016-01-13,23.870001,24.059999,23.760000,23.920000,22.127060,14900
2016-01-14,23.309999,24.480000,23.309999,23.830000,22.043804,97000
2016-01-15,23.150000,23.450001,23.000000,23.000000,21.276016,6000
2016-01-19,23.059999,23.600000,23.059999,23.309999,21.562778,21600
2016-01-20,22.870001,23.164000,22.620001,22.809999,21.100258,12300
2016-01-21,22.740000,23.530001,22.670000,23.070000,21.340769,30900
2016-01-22,23.870001,23.889999,23.101000,23.480000,21.720039,8800
2016-01-25,23.490000,23.580000,23.320000,23.320000,21.572033,3600
2016-01-26,23.690001,23.690001,23.690001,23.690001,21.914299,200
2016-01-27,23.760000,23.760000,23.271999,23.271999,21.527628,2000
2016-01-28,23.540001,23.840000,23.400000,23.840000,22.053053,3700
2016-01-29,23.860001,24.139999,23.690001,24.139999,22.330566,1900
2016-02-01,23.610001,24.295000,23.379999,24.260000,22.441572,21900
2016-02-02,23.719999,23.719999,23.480000,23.480000,21.720039,3000
2016-02-03,23.480000,23.480000,23.480000,23.480000,21.720039,0
2016-02-04,23.650000,23.889999,23.600000,23.889999,22.099304,1100
2016-02-05,23.240999,23.288000,23.240999,23.260000,21.516527,1000
2016-02-08,22.839001,22.839001,22.794001,22.794001,21.085457,3400
2016-02-09,22.469999,22.469999,22.469999,22.469999,20.785744,800
2016-02-10,22.860001,22.860001,22.860001,22.860001,21.146511,800
2016-02-11,22.639999,22.680000,22.514999,22.680000,20.980001,1000
2016-02-12,23.080000,23.080000,23.080000,23.080000,21.350018,700
2016-02-16,23.080000,23.080000,23.080000,23.080000,21.350018,0
2016-02-17,23.617001,23.770000,23.617001,23.770000,21.988300,300
2016-02-18,23.860001,23.950001,23.860001,23.870001,22.080807,15500
2016-02-19,23.930000,23.930000,23.660000,23.660000,21.886545,300
2016-02-22,24.139999,24.139999,23.945000,24.139999,22.330566,1500
2016-02-23,23.830000,23.839001,23.430000,23.760000,21.979052,8900
2016-02-24,23.159000,23.860001,23.153000,23.839001,22.052130,19400
2016-02-25,23.820000,23.820000,23.820000,23.820000,22.034550,800
2016-02-26,24.094999,24.120001,23.969999,23.969999,22.173307,2000
2016-02-29,24.051001,24.051001,23.688999,23.688999,21.913372,700
2016-03-01,24.440001,24.598000,24.209999,24.598000,22.754236,8000
2016-03-02,24.090000,24.100000,24.090000,24.090000,22.284313,2200
2016-03-03,24.629999,24.725000,24.525000,24.563999,22.722784,8500
2016-03-04,24.930000,25.000000,24.730000,24.889999,23.024351,13200
2016-03-07,24.600000,24.790001,24.500000,24.639999,22.793089,9300
2016-03-08,24.480000,24.650000,24.379999,24.379999,22.552578,3100
2016-03-09,24.660000,24.753000,24.480000,24.690001,22.839342,7700
2016-03-10,24.476000,24.615000,24.260000,24.607000,22.762564,6400
2016-03-11,24.750000,24.850000,24.690001,24.690001,22.839342,6000
2016-03-14,24.620001,25.000000,24.620001,24.930000,23.061352,24300
2016-03-15,24.507999,24.660000,24.507999,24.603001,22.758863,6400
2016-03-16,24.549999,24.980000,24.445000,24.980000,23.107603,15100
2016-03-17,25.170000,25.170000,25.150000,25.160000,23.274113,1200
2016-03-18,25.059000,25.059999,25.040001,25.059999,23.181606,1600
2016-03-21,24.879999,25.032000,24.879999,25.030001,23.153856,1000
2016-03-22,24.860001,25.400000,24.860001,24.959999,23.089102,6700
2016-03-23,24.770000,24.770000,24.653000,24.728001,22.874495,2600
2016-03-24,24.728001,24.728001,24.728001,24.728001,22.874495,0
2016-03-28,24.690001,25.120001,24.690001,24.760000,22.904095,12100
2016-03-29,24.688999,25.070000,24.688999,25.070000,23.190855,1900
2016-03-30,25.268999,25.290001,25.160000,25.160000,23.274113,1900
2016-03-31,25.250000,25.250000,25.211000,25.250000,23.357365,2000
2016-04-01,24.808001,24.808001,24.808001,24.808001,22.948500,200
2016-04-04,24.860001,24.860001,24.860001,24.860001,22.996599,9000
2016-04-05,24.528999,24.530001,24.400000,24.483000,22.647856,1400
2016-04-06,24.480000,24.688999,24.480000,24.688999,22.838415,1200
2016-04-07,24.688999,24.688999,24.688999,24.688999,22.838415,0
2016-04-08,25.030001,25.070000,25.009001,25.009001,23.134430,500
2016-04-11,25.120001,25.120001,25.082001,25.082001,23.201960,400
2016-04-12,25.080000,25.080000,25.080000,25.080000,23.200109,100
2016-04-13,25.080000,25.080000,25.080000,25.080000,23.200109,0
2016-04-14,25.080000,25.080000,25.080000,25.080000,23.200109,0
2016-04-15,25.590000,25.650000,25.544001,25.554001,23.638578,1700
2016-04-18,25.180000,25.780001,25.180000,25.708000,23.781036,1200
2016-04-19,26.229000,26.230000,26.188999,26.200001,24.236160,19700
2016-04-20,26.139999,26.360001,26.139999,26.299999,24.328661,12100
2016-04-21,25.952999,25.952999,25.952999,25.952999,24.007671,500
2016-04-22,25.950001,25.950001,25.889999,25.889999,23.949394,800
2016-04-25,25.889999,25.889999,25.889999,25.889999,23.949394,0
2016-04-26,25.889999,25.889999,25.889999,25.889999,23.949394,0
2016-04-27,25.780001,25.780001,25.780001,25.780001,23.847637,6800
2016-04-28,25.860001,25.860001,25.860001,25.860001,23.921644,6900
2016-04-29,25.600000,25.680000,25.590000,25.680000,23.755133,1600
2016-05-02,25.836000,25.889999,25.836000,25.889999,23.949394,300
