Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,28.230000,28.389999,28.030001,28.040001,25.546110,283300
2015-12-31,27.910000,28.190001,27.820000,28.030001,25.536999,223300
2016-01-04,27.820000,28.120001,27.520000,27.930000,25.445894,175800
2016-01-05,27.850000,27.950001,27.530001,27.940001,25.455004,207600
2016-01-06,27.200001,27.320000,26.820000,26.969999,24.571274,128900
2016-01-07,26.340000,26.860001,26.120001,26.200001,23.869761,334400
2016-01-08,26.410000,26.410000,25.790001,25.870001,23.569111,191700
2016-01-11,26.000000,26.000000,25.110001,25.400000,23.140911,288800
2016-01-12,25.700001,25.790001,24.820000,25.400000,23.140911,558800
2016-01-13,25.670000,25.930000,24.750000,24.980000,22.758268,268500
2016-01-14,25.290001,26.309999,25.020000,26.090000,23.769543,205200
2016-01-15,25.049999,25.450001,24.770000,25.160000,22.922260,380600
2016-01-19,25.430000,25.490000,24.430000,24.770000,22.566948,526800
2016-01-20,24.240000,24.299999,23.270000,24.010000,21.874538,530700
2016-01-21,24.070000,25.000000,23.850000,24.799999,22.594275,522000
2016-01-22,25.809999,26.090000,25.469999,25.950001,23.641996,953400
2016-01-25,25.510000,25.959999,24.920000,24.920000,22.703602,2221500
2016-01-26,25.299999,25.889999,25.139999,25.879999,23.578217,257000
2016-01-27,25.680000,26.400000,25.450001,25.799999,23.505335,382400
2016-01-28,26.790001,26.920000,26.200001,26.660000,24.288849,307900
2016-01-29,26.709999,27.320000,26.610001,27.260000,24.835482,685800
2016-02-01,26.830000,26.930000,26.430000,26.790001,24.407286,225200
2016-02-02,25.910000,25.920000,25.600000,25.709999,23.423340,426600
2016-02-03,26.110001,26.719999,25.360001,26.709999,24.334398,180500
2016-02-04,26.950001,27.440001,26.870001,27.040001,24.635050,1233200
2016-02-05,26.850000,26.860001,26.400000,26.570000,24.206850,200200
2016-02-08,26.120001,26.559999,25.799999,26.459999,24.106634,220900
2016-02-09,26.030001,26.160000,25.370001,25.670000,23.386896,3023500
2016-02-10,25.670000,26.120001,25.420000,25.540001,23.268461,289000
2016-02-11,25.120001,25.570000,24.850000,25.440001,23.177357,625100
2016-02-12,25.799999,26.320000,25.629999,26.230000,23.897093,360900
2016-02-16,26.690001,26.690001,26.230000,26.549999,24.188629,301800
2016-02-17,26.790001,27.450001,26.750000,27.320000,24.890146,415600
2016-02-18,27.590000,27.620001,27.030001,27.180000,24.762600,333200
2016-02-19,26.900000,27.010000,26.600000,27.010000,24.607718,149700
2016-02-22,27.379999,27.719999,27.280001,27.639999,25.181683,186100
2016-02-23,27.360001,27.370001,26.680000,26.770000,24.389065,146600
2016-02-24,26.200001,26.879999,26.070000,26.799999,24.416395,146800
2016-02-25,26.950001,27.040001,26.500000,27.020000,24.616831,221200
2016-02-26,27.430000,27.590000,27.100000,27.200001,24.780819,123600
2016-02-29,27.320000,27.480000,26.969999,27.059999,24.653273,163800
2016-03-01,27.420000,27.799999,27.100000,27.719999,25.254568,447600
2016-03-02,27.559999,28.290001,27.450001,28.280001,25.764765,146000
2016-03-03,28.360001,28.770000,28.219999,28.750000,26.192961,155400
2016-03-04,28.889999,29.389999,28.690001,29.120001,26.530054,179500
2016-03-07,28.940001,29.690001,28.799999,29.639999,27.003801,297700
2016-03-08,29.410000,29.410000,28.559999,28.590000,26.047194,267500
2016-03-09,28.860001,29.290001,28.670000,28.930000,26.356955,115400
2016-03-10,28.930000,29.000000,28.440001,28.870001,26.302290,242000
2016-03-11,29.270000,29.600000,29.230000,29.500000,26.876257,199600
2016-03-14,29.250000,29.379999,28.990000,29.299999,26.694044,1592800
2016-03-15,28.889999,29.100000,28.650000,29.100000,26.511833,1055600
2016-03-16,29.170000,29.740000,29.080000,29.690001,27.049356,672800
2016-03-17,29.889999,30.440001,29.790001,30.280001,27.586882,304200
2016-03-18,30.440001,30.440001,30.010000,30.190001,27.504887,113100
2016-03-21,30.000000,30.219999,29.750000,30.010000,27.340897,191500
2016-03-22,29.730000,30.080000,29.730000,29.900000,27.240679,163900
2016-03-23,29.709999,29.740000,29.190001,29.219999,26.621161,241500
2016-03-24,28.799999,29.330000,28.750000,29.330000,26.721376,170700
2016-03-28,29.360001,29.459999,29.090000,29.320000,26.712265,144400
