Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,30.559999,30.850000,30.459999,30.600000,28.441132,129700
2015-12-31,30.469999,30.740000,30.400000,30.639999,28.478308,104800
2016-01-04,30.049999,30.770000,29.620001,30.770000,28.599138,222400
2016-01-05,31.059999,31.299999,30.219999,30.299999,28.162298,218900
2016-01-06,29.750000,30.100000,29.459999,29.709999,27.613922,402900
2016-01-07,28.690001,28.790001,26.830000,26.990000,25.085821,448300
2016-01-08,27.980000,28.059999,27.200001,27.299999,25.373951,219400
2016-01-11,27.430000,27.590000,26.049999,26.320000,24.463091,225100
2016-01-12,26.959999,27.170000,25.459999,25.750000,23.933306,350600
2016-01-13,26.150000,26.540001,24.650000,24.850000,23.096802,223700
2016-01-14,24.840000,25.150000,24.010000,25.010000,23.245514,222500
2016-01-15,23.680000,23.959999,22.780001,23.520000,21.860636,248100
2016-01-19,24.080000,24.260000,22.780001,23.080000,21.451677,312500
2016-01-20,22.330000,23.330000,21.500000,23.180000,21.544621,184700
2016-01-21,23.129999,23.940001,22.860001,23.459999,21.804867,169700
2016-01-22,24.170000,24.730000,24.000000,24.360001,22.641371,169200
2016-01-25,24.360001,24.420000,23.700001,23.709999,22.037230,75800
2016-01-26,23.809999,25.000000,23.500000,24.900000,23.143274,241400
2016-01-27,24.639999,25.200001,24.389999,24.620001,22.883030,162300
2016-01-28,24.750000,25.090000,24.219999,24.670000,22.929502,74800
2016-01-29,24.770000,25.330000,24.760000,25.209999,23.431402,63600
2016-02-01,24.959999,25.190001,24.520000,25.030001,23.264103,52400
2016-02-02,25.020000,25.020000,23.910000,24.070000,22.371832,91800
2016-02-03,24.320000,24.389999,23.440001,24.299999,22.585604,85500
2016-02-04,24.379999,25.000000,24.350000,24.580000,22.845850,63700
2016-02-05,24.510000,24.510000,23.879999,23.940001,22.251005,73200
2016-02-08,23.230000,23.389999,22.250000,22.620001,21.024132,89800
2016-02-09,22.170000,22.580000,21.790001,22.250000,20.680235,150400
2016-02-10,21.450001,21.900000,21.379999,21.379999,19.871614,179100
2016-02-11,20.730000,20.940001,20.049999,20.350000,18.914284,215700
2016-02-12,20.719999,21.000000,20.000000,20.430000,18.988640,100700
2016-02-16,21.080000,21.830000,21.049999,21.670000,20.141153,173100
2016-02-17,22.059999,22.580000,21.930000,22.290001,20.717415,131800
2016-02-18,22.620001,22.629999,22.100000,22.299999,20.726707,83500
2016-02-19,22.150000,22.150000,21.780001,21.870001,20.327044,68100
2016-02-22,22.180000,22.670000,22.180000,22.330000,20.754591,92600
2016-02-23,22.379999,22.379999,21.920000,21.980000,20.429283,39500
2016-02-24,21.719999,22.620001,21.469999,22.549999,20.959068,80700
2016-02-25,22.469999,22.650000,21.950001,22.650000,21.052015,54000
2016-02-26,23.270000,23.459999,23.020000,23.120001,21.488855,82000
2016-02-29,23.370001,23.809999,23.170000,23.450001,21.795572,44500
2016-03-01,23.510000,23.510000,23.000000,23.309999,21.665451,100700
2016-03-02,23.330000,23.980000,23.180000,23.959999,22.269592,98500
2016-03-03,23.850000,23.940001,23.549999,23.850000,22.167353,91700
2016-03-04,24.120001,24.500000,23.910000,24.120001,22.418304,94400
2016-03-07,24.240000,24.770000,24.240000,24.680000,22.938795,66500
2016-03-08,24.920000,24.920000,24.059999,24.110001,22.409010,81600
2016-03-09,24.430000,24.440001,24.120001,24.360001,22.641371,30900
2016-03-10,24.490000,24.490000,23.820000,23.969999,22.278887,195800
2016-03-11,24.410000,24.559999,24.129999,24.549999,22.817966,68300
2016-03-14,24.469999,24.680000,24.260000,24.530001,22.799377,52400
2016-03-15,24.290001,24.290001,23.950001,24.280001,22.567015,60300
2016-03-16,23.809999,24.450001,23.719999,24.420000,22.697138,79600
2016-03-17,24.270000,24.590000,24.260000,24.490000,22.762201,59200
2016-03-18,24.860001,25.200001,24.400000,24.400000,22.678549,153900
2016-03-21,24.420000,24.570000,24.200001,24.480000,22.752905,81400
2016-03-22,24.180000,24.219999,23.580000,23.590000,21.925695,95500
2016-03-23,23.440001,23.450001,22.590000,22.590000,20.996248,116600
2016-03-24,22.280001,22.500000,22.059999,22.340000,20.763885,105600
2016-03-28,22.400000,22.790001,22.180000,22.299999,20.726707,93500
2016-03-29,21.850000,22.430000,21.690001,22.350000,20.773180,119300
2016-03-30,22.650000,22.910000,22.559999,22.600000,21.005541,60800
2016-03-31,22.660000,22.850000,22.639999,22.660000,21.061308,73400
2016-04-01,22.469999,22.700001,22.309999,22.639999,21.042719,40300
2016-04-04,22.639999,22.680000,22.139999,22.170000,20.605879,58100
2016-04-05,21.809999,22.120001,21.700001,22.000000,20.447872,52300
2016-04-06,22.240000,22.639999,22.190001,22.590000,20.996248,58400
2016-04-07,22.770000,22.879999,22.170000,22.260000,20.689531,85100
2016-04-08,22.660000,22.780001,22.430000,22.440001,20.856831,76600
2016-04-11,22.700001,22.870001,22.500000,22.530001,20.940481,66600
2016-04-12,22.889999,23.100000,22.639999,23.049999,21.423794,80300
2016-04-13,23.170000,23.420000,23.129999,23.370001,21.721216,90600
2016-04-14,23.490000,23.590000,23.370001,23.450001,21.795572,65200
2016-04-15,23.450001,23.540001,23.180000,23.190001,21.553917,47200
2016-04-18,23.070000,23.620001,23.030001,23.580000,21.916401,70900
2016-04-19,23.870001,23.889999,23.559999,23.709999,22.037230,55300
2016-04-20,23.629999,24.330000,23.629999,24.160000,22.455482,506400
2016-04-21,24.059999,24.370001,24.020000,24.209999,22.501953,225900
2016-04-22,24.240000,24.559999,24.240000,24.330000,22.613487,88300
2016-04-25,24.309999,24.450001,23.870001,23.940001,22.251005,68600
2016-04-26,24.020000,24.330000,23.990000,24.330000,22.613487,100900
2016-04-27,24.459999,24.879999,24.450001,24.790001,23.041035,146900
2016-04-28,24.500000,24.610001,24.129999,24.180000,22.474072,102200
2016-04-29,24.250000,24.420000,23.639999,23.820000,22.139469,128900
2016-05-02,23.780001,23.780001,23.330000,23.530001,21.869930,166800
2016-05-03,23.440001,23.440001,22.730000,22.740000,21.135662,143300
2016-05-04,22.900000,23.139999,22.410000,22.469999,20.884712,68300
2016-05-05,22.670000,22.760000,22.080000,22.090000,20.531523,64400
2016-05-06,22.020000,22.360001,21.910000,22.129999,20.568701,83700
2016-05-09,22.070000,22.110001,21.500000,21.639999,20.113272,62600
2016-05-10,21.299999,21.400000,21.010000,21.400000,19.890202,161100
2016-05-11,21.590000,21.980000,21.590000,21.620001,20.094683,78800
2016-05-12,21.790001,21.920000,21.030001,21.170000,19.676430,96000
2016-05-13,21.190001,21.309999,20.900000,20.980000,19.499836,72600
2016-05-16,21.090000,21.400000,21.090000,21.280001,19.778669,60300
2016-05-17,21.330000,21.400000,21.059999,21.110001,19.620665,84800
2016-05-18,21.090000,21.459999,21.049999,21.200001,19.704315,122700
2016-05-19,20.990000,21.129999,20.750000,20.930000,19.453362,68500
2016-05-20,21.129999,21.549999,21.129999,21.490000,19.973854,54200
2016-05-23,21.570000,21.910000,21.520000,21.820000,20.280573,162100
2016-05-24,21.900000,22.139999,21.900000,22.059999,20.503639,56500
2016-05-25,22.120001,22.150000,21.950001,22.090000,20.531523,55800
2016-05-26,22.270000,22.270000,21.850000,21.969999,20.419989,54600
2016-05-27,21.969999,22.150000,21.900000,21.959999,20.410694,42000
2016-05-31,21.930000,22.129999,21.920000,22.010000,20.457167,72100
2016-06-01,22.120001,22.160000,21.860001,22.100000,20.540819,79500
2016-06-02,22.090000,22.090000,21.889999,21.980000,20.429283,39100
2016-06-03,21.830000,21.830000,21.400000,21.530001,20.011034,47800
2016-06-06,21.549999,21.879999,21.480000,21.840000,20.299160,108100
2016-06-07,21.950001,22.139999,21.840000,21.969999,20.419989,93800
2016-06-08,22.150000,22.309999,22.049999,22.129999,20.568701,186800
2016-06-09,22.020000,22.020000,21.549999,21.660000,20.131861,141800
2016-06-10,21.230000,21.230000,20.610001,20.650000,19.193117,184900
2016-06-13,20.370001,20.490000,20.120001,20.139999,18.719097,118500
2016-06-14,20.129999,20.379999,19.889999,20.070000,18.654037,226900
2016-06-15,20.129999,20.480000,20.049999,20.049999,18.635447,91300
2016-06-16,19.879999,20.059999,19.540001,20.030001,18.616859,131400
2016-06-17,20.139999,20.370001,20.139999,20.350000,18.914284,65200
2016-06-20,20.790001,20.969999,20.639999,20.680000,19.221003,142700
2016-06-21,20.629999,20.709999,20.370001,20.580000,19.128056,135400
2016-06-22,20.760000,20.879999,20.400000,20.400000,18.960756,192100
2016-06-23,20.650000,20.920000,20.580000,20.850000,19.379005,49300
2016-06-24,19.750000,20.150000,19.610001,19.860001,18.458851,295100
2016-06-27,19.660000,19.660000,19.020000,19.320000,17.956949,122200
2016-06-28,19.680000,20.200001,19.680000,20.020000,18.607565,81400
2016-06-29,20.330000,20.750000,20.200001,20.639999,19.183823,101500
2016-06-30,20.740000,21.000000,20.650000,20.959999,19.481243,52100
2016-07-01,21.030001,21.120001,20.910000,21.000000,19.518423,53000
2016-07-05,21.040001,21.490000,20.549999,20.620001,19.165236,62300
2016-07-06,20.709999,21.160000,20.629999,21.139999,19.648546,62600
2016-07-07,21.200001,21.379999,20.900000,20.969999,19.490540,63200
2016-07-08,21.340000,21.500000,21.270000,21.440001,19.927382,80000
2016-07-11,21.570000,21.920000,21.480000,21.750000,20.215511,116600
2016-07-12,21.830000,22.000000,21.770000,21.770000,20.234100,89200
2016-07-13,21.700001,21.750000,21.309999,21.440001,19.927382,69200
2016-07-14,21.700001,21.719999,21.490000,21.540001,20.020327,61700
2016-07-15,21.570000,21.570000,21.299999,21.379999,19.871614,53100
