Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,38.340000,38.450001,38.169998,38.189999,33.779026,55100
2015-12-31,38.049999,38.110001,37.740002,37.740002,33.381001,56700
2016-01-04,37.160000,37.389999,36.779999,37.180000,32.885677,110800
2016-01-05,37.000000,37.020000,36.740002,36.980000,32.708775,12900
2016-01-06,36.220001,36.439999,36.150002,36.380001,32.178078,22200
2016-01-07,35.619999,35.950001,35.540001,35.650002,31.532398,17000
2016-01-08,35.820000,35.820000,35.209999,35.209999,31.143215,12800
2016-01-11,35.669998,35.669998,35.090000,35.330002,31.249357,27200
2016-01-12,35.669998,35.750000,35.230000,35.580002,31.470480,46100
2016-01-13,35.790001,35.880001,34.959999,34.990002,30.948629,27500
2016-01-14,35.250000,35.700001,34.950001,35.529999,31.426258,19800
2016-01-15,34.209999,34.619999,34.090000,34.259998,30.302942,63400
2016-01-19,34.810001,34.810001,34.270000,34.529999,30.541754,180000
2016-01-20,33.950001,34.009998,33.209999,33.820000,29.913763,52800
2016-01-21,33.720001,34.349998,33.570000,34.139999,30.196798,22600
2016-01-22,34.910000,35.209999,34.869999,35.099998,31.045914,71100
2016-01-25,34.900002,34.959999,34.630001,34.630001,30.630205,12300
2016-01-26,35.000000,35.360001,35.000000,35.310001,31.231668,14400
2016-01-27,35.259998,35.570000,34.970001,35.049999,31.001696,18100
2016-01-28,35.639999,35.639999,35.180000,35.410000,31.320114,16200
2016-01-29,35.540001,35.970001,35.520000,35.970001,31.815434,19200
2016-02-01,35.639999,36.020000,35.549999,35.910000,31.762365,21400
2016-02-02,35.259998,35.259998,34.869999,34.939999,30.904402,42000
2016-02-03,35.240002,35.480000,34.639999,35.480000,31.382030,28500
2016-02-04,35.450001,35.790001,35.450001,35.660000,31.541243,13600
2016-02-05,35.520000,35.520000,35.080002,35.169998,31.107836,28000
2016-02-08,34.639999,34.740002,34.240002,34.630001,30.630205,24000
2016-02-09,33.900002,34.459999,33.900002,34.189999,30.241022,16100
2016-02-10,34.330002,34.410000,34.139999,34.169998,30.223331,14000
2016-02-11,33.810001,33.910000,33.459999,33.740002,29.843002,22100
2016-02-12,33.950001,34.369999,33.939999,34.369999,30.400230,23300
