Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,33.869999,33.880001,33.619999,33.619999,29.224089,349200
2015-12-31,33.509998,33.570000,33.360001,33.360001,28.998083,338600
2016-01-04,32.919998,33.000000,32.509998,32.919998,28.615612,105000
2016-01-05,32.750000,32.750000,32.480000,32.730000,28.450457,93100
2016-01-06,32.000000,32.099998,31.870001,32.029999,27.841986,124300
2016-01-07,31.270000,31.590000,31.090000,31.090000,27.024895,182100
2016-01-08,31.469999,31.540001,31.049999,31.110001,27.042276,146100
2016-01-11,31.410000,31.440001,30.790001,31.070000,27.007507,164000
2016-01-12,31.309999,31.320000,30.799999,31.139999,27.068354,235400
2016-01-13,31.320000,31.400000,30.590000,30.639999,26.633732,174700
2016-01-14,30.760000,31.219999,30.510000,31.080000,27.016199,147500
2016-01-15,29.950001,30.170000,29.639999,29.879999,25.973103,546600
2016-01-19,30.330000,30.379999,29.930000,30.170000,26.225183,334100
2016-01-20,29.610001,29.910000,28.930000,29.700001,25.816637,311600
2016-01-21,29.580000,30.270000,29.400000,30.049999,26.120874,219400
2016-01-22,30.830000,31.049999,30.780001,31.040001,26.981430,194300
2016-01-25,30.820000,30.900000,30.420000,30.430000,26.451189,194500
2016-01-26,30.700001,31.170000,30.660000,31.129999,27.059660,118400
2016-01-27,31.000000,31.389999,30.760000,30.870001,26.833658,130000
2016-01-28,31.540001,31.610001,31.110001,31.440001,27.329130,137300
2016-01-29,31.790001,32.200001,31.730000,32.150002,27.946299,255500
2016-02-01,31.870001,32.180000,31.719999,32.029999,27.841986,230100
2016-02-02,31.309999,31.309999,30.870001,30.959999,26.911890,103600
2016-02-03,31.250000,31.700001,30.719999,31.639999,27.502977,232900
2016-02-04,31.870001,32.200001,31.790001,31.900000,27.728983,101700
2016-02-05,31.799999,31.799999,31.340000,31.400000,27.294359,55100
2016-02-08,31.059999,31.059999,30.700001,31.010000,26.955353,62000
2016-02-09,30.270000,30.520000,30.100000,30.400000,26.425110,112700
2016-02-10,30.360001,30.620001,30.219999,30.270000,26.312109,132800
2016-02-11,29.900000,30.139999,29.620001,29.950001,26.033953,221400
2016-02-12,30.209999,30.559999,30.110001,30.510000,26.520727,168100
2016-02-16,30.950001,31.120001,30.740000,31.120001,27.050970,184500
2016-02-17,31.309999,31.879999,31.309999,31.809999,27.650747,90800
2016-02-18,32.080002,32.099998,31.770000,31.809999,27.650747,157400
2016-02-19,31.410000,31.680000,31.290001,31.610001,27.476902,130300
2016-02-22,31.980000,32.290001,31.980000,32.259998,28.041906,221200
2016-02-23,31.940001,31.940001,31.500000,31.530001,27.407362,100800
2016-02-24,30.980000,31.469999,30.770000,31.420000,27.311747,133000
2016-02-25,31.379999,31.690001,31.139999,31.690001,27.546440,159400
2016-02-26,31.799999,31.820000,31.330000,31.410000,27.303049,173400
2016-02-29,31.610001,31.910000,31.559999,31.639999,27.502977,138200
2016-03-01,32.070000,32.500000,31.980000,32.450001,28.207071,97300
2016-03-02,32.419998,32.849998,32.330002,32.849998,28.554762,81400
2016-03-03,32.950001,33.349998,32.930000,33.340000,28.980700,180600
2016-03-04,33.500000,34.000000,33.500000,33.799999,29.380550,128500
2016-03-07,33.500000,34.119999,33.500000,33.970001,29.528328,102400
2016-03-08,33.680000,33.680000,33.259998,33.299999,28.945927,111000
2016-03-09,33.549999,33.820000,33.450001,33.619999,29.224089,79800
2016-03-10,33.720001,33.869999,33.200001,33.540001,29.154551,109500
2016-03-11,34.070000,34.490002,34.009998,34.490002,29.980333,281000
2016-03-14,34.270000,34.299999,34.040001,34.200001,29.728252,116100
2016-03-15,33.689999,33.700001,33.470001,33.700001,29.293627,181000
2016-03-16,33.540001,34.419998,33.540001,34.389999,29.893410,72800
2016-03-17,34.700001,35.240002,34.610001,35.160000,30.562727,120700
2016-03-18,35.330002,35.459999,35.139999,35.240002,30.689371,269400
2016-03-21,35.060001,35.250000,35.000000,35.110001,30.576149,131000
2016-03-22,34.820000,35.119999,34.709999,35.060001,30.532614,97300
2016-03-23,34.740002,34.740002,34.240002,34.240002,29.818495,91100
2016-03-24,33.900002,34.200001,33.770000,34.189999,29.774950,104600
2016-03-28,34.360001,34.369999,34.119999,34.310001,29.879457,54400
2016-03-29,34.029999,34.750000,33.939999,34.700001,30.219090,82900
2016-03-30,35.110001,35.419998,35.060001,35.150002,30.610987,85400
2016-03-31,35.250000,35.340000,35.049999,35.070000,30.541311,97400
2016-04-01,34.369999,34.700001,34.230000,34.639999,30.166842,107400
2016-04-04,34.680000,34.740002,34.360001,34.419998,29.975248,79500
2016-04-05,33.720001,33.759998,33.540001,33.599998,29.261135,80500
2016-04-06,33.610001,34.080002,33.549999,34.080002,29.679163,101400
2016-04-07,33.709999,33.830002,33.389999,33.500000,29.174053,87400
2016-04-08,34.209999,34.400002,34.180000,34.259998,29.835911,80200
2016-04-11,34.590000,34.860001,34.560001,34.570000,30.105885,54900
2016-04-12,34.790001,35.419998,34.630001,35.310001,30.750326,85400
2016-04-13,35.630001,35.750000,35.520000,35.720001,31.107376,252200
2016-04-14,35.799999,35.849998,35.619999,35.669998,31.063829,98800
2016-04-15,35.720001,35.790001,35.549999,35.669998,31.063829,288100
2016-04-18,35.549999,36.090000,35.430000,36.029999,31.377348,242000
2016-04-19,36.470001,36.919998,36.470001,36.900002,32.134998,128000
2016-04-20,36.840000,37.220001,36.799999,37.000000,32.222088,158500
2016-04-21,36.820000,36.869999,36.490002,36.590000,31.865032,132300
2016-04-22,36.439999,36.720001,36.360001,36.490002,31.777950,106000
2016-04-25,36.340000,36.340000,36.070000,36.150002,31.481852,125800
2016-04-26,36.520000,36.669998,36.459999,36.560001,31.838905,72100
2016-04-27,36.340000,36.700001,36.340000,36.650002,31.917282,64600
2016-04-28,36.549999,36.950001,36.529999,36.590000,31.865032,47800
2016-04-29,36.680000,36.900002,36.430000,36.639999,31.908581,129400
2016-05-02,36.700001,36.770000,36.500000,36.700001,31.960831,155000
2016-05-03,36.209999,36.209999,35.720001,35.750000,31.133507,135900
2016-05-04,35.340000,35.480000,35.009998,35.090000,30.558729,154300
2016-05-05,35.369999,35.480000,35.070000,35.189999,30.645817,80300
2016-05-06,34.880001,35.209999,34.840000,35.160000,30.619688,76200
2016-05-09,34.950001,34.950001,34.680000,34.689999,30.210381,54000
2016-05-10,34.930000,35.250000,34.930000,35.250000,30.698065,51400
2016-05-11,35.099998,35.400002,35.020000,35.139999,30.602276,81000
2016-05-12,35.369999,35.570000,34.970001,35.189999,30.645817,356500
