Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,47.200001,47.349998,47.119999,47.119999,47.119999,103800
2015-12-31,47.270000,47.270000,45.959999,46.639999,46.639999,103800
2016-01-04,46.009998,46.049999,45.430000,46.049999,46.049999,36400
2016-01-05,45.880001,45.990002,45.740002,45.910000,45.910000,19700
2016-01-06,45.209999,45.400002,45.150002,45.189999,45.189999,27900
2016-01-07,44.450001,44.820000,44.330002,44.369999,44.369999,47300
2016-01-08,44.580002,44.580002,43.790001,43.790001,43.790001,22200
2016-01-11,43.930000,44.020000,43.450001,43.740002,43.740002,97300
2016-01-12,43.759998,43.869999,43.340000,43.669998,43.669998,217100
2016-01-13,43.849998,43.849998,43.070000,43.070000,43.070000,17500
2016-01-14,43.279999,43.599998,42.869999,43.529999,43.529999,16800
2016-01-15,42.259998,42.310001,41.730000,42.000000,42.000000,27200
2016-01-19,42.299999,42.660000,42.090000,42.349998,42.349998,58900
2016-01-20,41.509998,41.509998,40.570000,41.279999,41.279999,43700
2016-01-21,41.009998,41.580002,40.709999,41.439999,41.439999,169200
2016-01-22,42.299999,42.730000,42.299999,42.660000,42.660000,64600
2016-01-25,42.259998,42.660000,42.139999,42.139999,42.139999,147300
2016-01-26,42.500000,42.820000,42.290001,42.820000,42.820000,50000
2016-01-27,42.840000,43.450001,42.450001,42.619999,42.619999,31400
2016-01-28,42.860001,43.000000,42.619999,42.950001,42.950001,26900
2016-01-29,43.230000,43.770000,43.230000,43.770000,43.770000,34800
2016-02-01,43.709999,44.180000,43.650002,44.000000,44.000000,140500
2016-02-02,43.430000,43.480000,43.020000,43.110001,43.110001,33800
2016-02-03,43.130001,43.389999,42.509998,43.389999,43.389999,60900
2016-02-04,43.119999,43.439999,43.090000,43.189999,43.189999,61500
2016-02-05,43.119999,43.119999,42.380001,42.430000,42.430000,15900
2016-02-08,42.230000,42.230000,41.369999,41.639999,41.639999,89100
2016-02-09,40.669998,41.630001,40.669998,41.279999,41.279999,24600
2016-02-10,41.169998,41.660000,41.169998,41.360001,41.360001,23600
2016-02-11,40.880001,40.910000,40.459999,40.790001,40.790001,23000
2016-02-12,40.779999,41.180000,40.520000,41.180000,41.180000,8100
2016-02-16,41.740002,42.049999,41.680000,41.970001,41.970001,7000
2016-02-17,42.490002,42.810001,42.419998,42.799999,42.799999,17400
2016-02-18,43.180000,43.180000,42.770000,42.770000,42.770000,16200
2016-02-19,42.630001,42.880001,42.630001,42.750000,42.750000,41000
2016-02-22,43.240002,43.400002,43.189999,43.349998,43.349998,8100
2016-02-23,43.130001,43.180000,42.730000,42.810001,42.810001,16600
2016-02-24,42.180000,42.919998,42.160000,42.919998,42.919998,35900
2016-02-25,42.930000,43.270000,42.849998,43.259998,43.259998,11200
2016-02-26,43.360001,43.400002,43.090000,43.160000,43.160000,14900
2016-02-29,43.080002,43.209999,42.810001,42.810001,42.810001,9300
2016-03-01,43.369999,43.980000,43.369999,43.930000,43.930000,3700
2016-03-02,44.029999,44.250000,43.930000,44.250000,44.250000,48900
2016-03-03,44.480000,44.580002,44.360001,44.509998,44.509998,102500
2016-03-04,44.689999,45.340000,44.689999,45.209999,45.209999,34000
2016-03-07,44.619999,45.130001,44.619999,44.990002,44.990002,13500
2016-03-08,44.630001,44.630001,44.310001,44.310001,44.310001,7600
2016-03-09,44.459999,44.509998,44.270000,44.340000,44.340000,7000
2016-03-10,44.560001,44.740002,43.950001,44.290001,44.290001,9400
2016-03-11,44.790001,45.389999,44.790001,45.330002,45.330002,19100
2016-03-14,45.500000,45.529999,45.250000,45.349998,45.349998,54800
2016-03-15,44.970001,45.000000,44.880001,44.950001,44.950001,13000
2016-03-16,44.930000,45.590000,44.930000,45.560001,45.560001,17600
2016-03-17,45.689999,46.169998,45.689999,46.049999,46.049999,11300
2016-03-18,45.959999,46.130001,45.880001,45.919998,45.919998,9200
2016-03-21,45.919998,46.060001,45.860001,45.959999,45.959999,45900
2016-03-22,45.759998,46.150002,45.759998,45.980000,45.980000,6100
2016-03-23,45.750000,45.779999,45.490002,45.490002,45.490002,13800
2016-03-24,45.240002,45.490002,45.160000,45.490002,45.490002,117200
2016-03-28,45.580002,45.959999,45.580002,45.840000,45.840000,5200
2016-03-29,45.599998,46.360001,45.599998,46.250000,46.250000,10400
2016-03-30,46.599998,46.860001,46.599998,46.849998,46.849998,4600
2016-03-31,46.540001,46.560001,46.200001,46.480000,46.480000,63300
2016-04-01,46.029999,46.029999,45.459999,45.849998,45.849998,49700
2016-04-04,46.080002,46.080002,45.630001,45.630001,45.630001,32300
2016-04-05,45.119999,45.119999,44.900002,44.919998,44.919998,112200
2016-04-06,45.090000,45.430000,45.090000,45.419998,45.419998,8500
2016-04-07,45.060001,45.230000,44.830002,44.910000,44.910000,49000
2016-04-08,45.799999,46.009998,45.750000,45.759998,45.759998,19900
2016-04-11,46.060001,46.200001,45.939999,45.939999,45.939999,7400
2016-04-12,46.040001,46.369999,45.950001,46.240002,46.240002,8300
2016-04-13,46.720001,46.880001,46.720001,46.790001,46.790001,18400
2016-04-14,46.860001,46.860001,46.669998,46.759998,46.759998,9700
2016-04-15,46.680000,46.680000,46.419998,46.549999,46.549999,4000
2016-04-18,46.599998,46.820000,46.599998,46.779999,46.779999,10800
2016-04-19,47.380001,47.709999,47.380001,47.540001,47.540001,155600
2016-04-20,47.459999,47.959999,47.459999,47.680000,47.680000,1111500
2016-04-21,47.400002,47.529999,47.130001,47.279999,47.279999,522000
2016-04-22,47.049999,47.220001,46.770000,47.020000,47.020000,41300
2016-04-25,46.869999,47.020000,46.810001,47.020000,47.020000,24800
2016-04-26,47.189999,47.189999,46.950001,47.130001,47.130001,27200
