Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,32.529999,32.549999,32.240002,32.259998,29.750137,355400
2015-12-31,32.189999,32.270000,32.009998,32.099998,29.602589,170700
2016-01-04,31.820000,32.029999,31.309999,31.719999,29.252151,57200
2016-01-05,31.760000,31.760000,31.430000,31.680000,29.215267,182100
2016-01-06,30.940001,30.990000,30.620001,30.760000,28.366842,105800
2016-01-07,30.020000,30.309999,29.830000,29.950001,27.619862,142900
2016-01-08,30.000000,30.000000,29.459999,29.510000,27.214094,85400
2016-01-11,29.760000,29.760000,28.850000,29.110001,26.845213,116200
2016-01-12,29.320000,29.320000,28.549999,28.889999,26.642328,76300
2016-01-13,29.200001,29.360001,28.450001,28.540001,26.319561,162400
2016-01-14,28.780001,29.430000,28.559999,29.250000,26.974321,132900
2016-01-15,28.459999,28.549999,28.080000,28.420000,26.208897,121500
2016-01-19,28.889999,28.900000,27.990000,28.250000,26.052124,121900
2016-01-20,27.570000,27.780001,26.820000,27.580000,25.434250,152600
2016-01-21,27.719999,28.320000,27.400000,28.200001,26.006014,182700
2016-01-22,29.030001,29.150000,28.590000,28.840000,26.596222,126000
2016-01-25,28.770000,28.780001,28.100000,28.100000,25.913794,74200
2016-01-26,28.480000,29.010000,28.440001,28.910000,26.660770,192700
2016-01-27,28.830000,29.490000,28.660000,28.969999,26.716106,95300
2016-01-28,29.610001,29.610001,29.030001,29.420000,27.131094,101500
2016-01-29,29.370001,30.059999,29.370001,30.030001,27.693638,167500
2016-02-01,29.650000,29.940001,29.500000,29.870001,27.546089,98100
2016-02-02,29.170000,29.170000,28.629999,28.770000,26.531666,294300
2016-02-03,29.150000,29.809999,28.780001,29.809999,27.490751,125400
2016-02-04,30.260000,31.030001,30.260000,30.790001,28.394510,100500
2016-02-05,30.730000,30.840000,30.480000,30.680000,28.293066,167200
2016-02-08,30.250000,30.540001,30.200001,30.500000,28.127071,35500
2016-02-09,29.840000,30.000000,29.500000,29.799999,27.481531,185100
2016-02-10,29.850000,29.920000,29.520000,29.580000,27.278646,115700
2016-02-11,29.290001,29.440001,29.020000,29.379999,27.094206,135600
2016-02-12,29.750000,30.299999,29.639999,30.299999,27.942629,62700
2016-02-16,30.850000,30.860001,30.440001,30.820000,28.422174,69300
2016-02-17,31.280001,31.809999,31.280001,31.790001,29.316706,87400
2016-02-18,31.910000,31.910000,31.559999,31.690001,29.224487,72000
2016-02-19,31.270000,31.459999,31.200001,31.410000,28.966270,43900
2016-02-22,31.990000,32.299999,31.740000,32.290001,29.777807,43300
2016-02-23,32.020000,32.020000,31.530001,31.610001,29.150711,46300
2016-02-24,30.969999,31.490000,30.760000,31.410000,28.966270,64800
2016-02-25,31.580000,31.709999,31.240000,31.690001,29.224487,27700
2016-02-26,32.020000,32.060001,31.650000,31.730000,29.261375,49300
2016-02-29,31.990000,32.380001,31.840000,32.020000,29.528812,465500
2016-03-01,32.330002,32.689999,32.099998,32.630001,30.091354,31300
2016-03-02,32.790001,33.279999,32.660000,33.270000,30.681564,315500
2016-03-03,33.430000,33.959999,33.320000,33.889999,31.253323,49900
2016-03-04,34.169998,34.970001,34.169998,34.570000,31.880421,47600
2016-03-07,34.500000,35.299999,34.500000,35.200001,32.461411,53600
2016-03-08,34.790001,34.790001,33.950001,33.950001,31.308655,85900
2016-03-09,34.090000,34.439999,33.880001,34.279999,31.612984,125000
2016-03-10,34.189999,34.380001,33.820000,34.180000,31.520760,150000
2016-03-11,34.630001,34.950001,34.630001,34.869999,32.157078,46400
2016-03-14,34.790001,34.939999,34.490002,34.830002,32.120190,822600
2016-03-15,34.180000,34.279999,33.970001,34.270000,31.603764,439600
2016-03-16,34.270000,35.070000,34.099998,35.060001,32.332298,233500
2016-03-17,35.610001,36.139999,35.490002,35.939999,33.143829,55800
2016-03-18,36.240002,36.240002,35.799999,35.919998,33.125389,64100
2016-03-21,35.900002,35.900002,35.610001,35.740002,32.959396,54900
2016-03-22,35.500000,35.669998,35.400002,35.540001,32.774956,65900
2016-03-23,35.290001,35.290001,34.520000,34.520000,31.834311,508800
2016-03-24,34.130001,34.599998,34.000000,34.599998,31.908087,124300
2016-03-28,34.599998,34.820000,34.450001,34.740002,32.037193,234900
2016-03-29,34.169998,34.970001,34.139999,34.919998,32.203190,164800
2016-03-30,35.410000,35.619999,35.130001,35.230000,32.489071,39400
2016-03-31,35.150002,35.299999,34.880001,34.970001,32.249298,142000
2016-04-01,34.220001,34.740002,34.200001,34.700001,32.000309,69600
2016-04-04,34.720001,34.750000,34.250000,34.259998,31.594538,41300
2016-04-05,33.820000,33.980000,33.700001,33.869999,31.234879,102500
2016-04-06,33.820000,34.330002,33.730000,34.330002,31.659098,41600
2016-04-07,33.990002,34.160000,33.720001,33.860001,31.225660,51000
2016-04-08,34.520000,34.840000,34.520000,34.740002,32.037193,60700
2016-04-11,35.180000,35.410000,35.099998,35.189999,32.452183,78400
2016-04-12,35.520000,36.160000,35.459999,36.049999,33.245270,40100
2016-04-13,36.869999,36.869999,36.599998,36.750000,33.890812,180100
2016-04-14,36.830002,36.830002,36.529999,36.599998,33.752483,167600
2016-04-15,36.619999,36.619999,36.270000,36.490002,33.651043,234400
2016-04-18,36.389999,37.000000,36.250000,36.919998,34.047585,210100
2016-04-19,37.320000,38.090000,37.320000,38.029999,35.071224,193800
2016-04-20,38.230000,38.660000,38.090000,38.299999,35.320217,225500
2016-04-21,38.430000,38.590000,38.000000,38.049999,35.089672,457600
2016-04-22,38.070000,38.290001,37.910000,38.090000,35.126556,50100
2016-04-25,37.950001,37.950001,37.439999,37.590000,34.665462,163800
2016-04-26,37.840000,38.009998,37.680000,38.000000,35.043564,207900
2016-04-27,37.950001,38.450001,37.950001,38.380001,35.393997,75900
2016-04-28,38.389999,38.849998,38.310001,38.419998,35.430889,71300
2016-04-29,38.700001,39.009998,38.459999,38.770000,35.753658,85600
2016-05-02,39.060001,39.060001,38.560001,38.810001,35.790543,173700
2016-05-03,38.230000,38.230000,37.439999,37.490002,34.573242,327800
2016-05-04,37.119999,37.240002,36.619999,36.700001,33.844707,285100
2016-05-05,37.040001,37.180000,36.459999,36.650002,33.798595,59800
2016-05-06,36.540001,36.919998,36.439999,36.820000,33.955372,84200
2016-05-09,36.419998,36.419998,35.650002,35.709999,32.931728,149900
2016-05-10,35.759998,36.419998,35.759998,36.389999,33.558819,103600
2016-05-11,36.450001,36.730000,36.279999,36.529999,33.687931,39400
2016-05-12,36.810001,37.090000,36.299999,36.480000,33.641819,44500
2016-05-13,36.279999,36.410000,35.880001,35.970001,33.171494,57200
2016-05-16,36.400002,36.840000,36.400002,36.779999,33.918480,877100
2016-05-17,36.770000,37.099998,36.630001,36.830002,33.964592,212200
2016-05-18,36.660000,36.840000,36.040001,36.119999,33.309830,98400
2016-05-19,35.740002,36.090000,35.509998,36.070000,33.263721,156500
2016-05-20,36.200001,36.369999,36.060001,36.200001,33.383602,106200
2016-05-23,36.009998,36.380001,35.939999,36.209999,33.392826,22400
2016-05-24,36.299999,36.500000,36.259998,36.330002,33.503498,36800
2016-05-25,36.450001,37.070000,36.450001,37.029999,34.149029,46500
2016-05-26,37.439999,37.490002,36.959999,37.040001,34.158257,67600
2016-05-27,37.000000,37.000000,36.730000,36.810001,33.946152,60100
2016-05-31,36.799999,36.970001,36.439999,36.509998,33.669487,104400
2016-06-01,36.349998,36.480000,36.090000,36.470001,33.632603,23500
2016-06-02,36.130001,36.509998,36.099998,36.459999,33.623375,106800
2016-06-03,36.980000,37.200001,36.840000,37.160000,34.268913,32500
2016-06-06,37.520000,37.939999,37.520000,37.900002,34.951347,24500
2016-06-07,38.090000,38.299999,38.080002,38.169998,35.200333,71900
2016-06-08,38.529999,38.830002,38.470001,38.480000,35.486221,72400
2016-06-09,38.049999,38.049999,37.779999,37.919998,34.969788,153400
2016-06-10,37.290001,37.480000,36.939999,37.049999,34.167473,81200
2016-06-13,36.770000,37.180000,36.689999,36.730000,33.872368,151600
2016-06-14,36.520000,36.580002,35.959999,36.230000,33.411270,100100
2016-06-15,36.369999,36.770000,36.220001,36.410000,33.577267,1287300
2016-06-16,36.000000,36.459999,35.779999,36.430000,33.595711,53400
2016-06-17,36.189999,36.509998,36.130001,36.410000,34.006462,15900
2016-06-20,37.110001,37.270000,37.020000,37.040001,34.594875,160500
2016-06-21,37.080002,37.150002,36.799999,36.990002,34.548176,29000
2016-06-22,37.139999,37.270000,36.869999,36.910000,34.473454,40000
2016-06-23,37.610001,37.939999,37.560001,37.919998,35.416782,45800
2016-06-24,35.869999,36.450001,35.700001,35.700001,33.343330,106500
2016-06-27,35.259998,35.320000,34.549999,34.810001,32.512081,77700
2016-06-28,35.349998,35.669998,35.259998,35.669998,33.315308,140600
2016-06-29,36.169998,36.570000,36.169998,36.470001,34.062504,23000
2016-06-30,36.599998,37.110001,36.490002,37.110001,34.660248,153700
2016-07-01,37.200001,37.520000,36.889999,37.470001,34.996487,25600
2016-07-05,37.310001,37.360001,36.770000,36.889999,34.454773,35600
2016-07-06,36.630001,37.139999,36.480000,37.110001,34.660248,34300
2016-07-07,37.189999,37.320000,36.580002,36.790001,34.361378,53200
2016-07-08,37.160000,37.540001,37.160000,37.470001,34.996487,16200
2016-07-11,37.840000,38.110001,37.840000,38.009998,35.500839,23100
2016-07-12,38.540001,38.880001,38.540001,38.650002,36.098595,114600
2016-07-13,38.950001,38.980000,38.580002,38.830002,36.266712,102600
2016-07-14,39.139999,39.270000,38.970001,39.160000,36.574921,622900
2016-07-15,39.209999,39.220001,38.980000,39.119999,36.537563,935500
2016-07-18,39.070000,39.250000,38.880001,39.240002,36.649647,100600
2016-07-19,38.910000,38.919998,38.549999,38.639999,36.089252,21400
2016-07-20,38.400002,38.459999,38.049999,38.330002,35.799717,236700
2016-07-21,38.430000,38.720001,38.340000,38.470001,35.930477,678100
2016-07-22,38.480000,38.529999,38.299999,38.490002,35.949158,202000
2016-07-25,38.380001,38.380001,37.910000,38.020000,35.510181,19900
2016-07-26,38.060001,38.430000,38.049999,38.410000,35.874435,134400
2016-07-27,38.520000,38.820000,38.230000,38.570000,36.023872,33300
2016-07-28,38.590000,38.630001,38.240002,38.439999,35.902451,106600
2016-07-29,38.380001,38.630001,38.169998,38.619999,36.070572,364100
2016-08-01,38.430000,38.430000,37.990002,38.000000,35.491497,64400
2016-08-02,38.180000,38.299999,37.830002,38.099998,35.584896,93400
2016-08-03,38.040001,38.220001,37.849998,38.220001,35.696976,58500
2016-08-04,38.270000,38.430000,38.169998,38.369999,35.837074,31000
2016-08-05,38.470001,38.599998,38.360001,38.580002,36.033215,178800
2016-08-08,38.779999,39.000000,38.779999,38.900002,36.332092,63400
2016-08-09,39.049999,39.180000,38.919998,38.990002,36.416153,184100
2016-08-10,39.189999,39.299999,38.910000,38.930000,36.360107,183700
2016-08-11,39.070000,39.310001,39.009998,39.200001,36.612286,128700
2016-08-12,39.200001,39.270000,38.900002,38.959999,36.388130,19200
2016-08-15,39.020000,39.240002,39.020000,39.160000,36.574921,39700
2016-08-16,39.279999,39.380001,39.250000,39.290001,36.696346,586900
2016-08-17,39.200001,39.290001,38.869999,39.240002,36.649647,73100
2016-08-18,39.360001,39.610001,39.360001,39.610001,36.995216,70600
2016-08-19,39.340000,39.340000,39.060001,39.220001,36.630966,63600
2016-08-22,39.070000,39.160000,38.840000,39.150002,36.565586,49600
2016-08-23,39.279999,39.560001,39.279999,39.349998,36.752384,376900
2016-08-24,39.230000,39.230000,38.750000,38.779999,36.220009,134000
2016-08-25,38.709999,38.880001,38.630001,38.810001,36.248032,33700
2016-08-26,39.070000,39.509998,38.529999,38.669998,36.117271,93400
2016-08-29,38.630001,38.910000,38.610001,38.849998,36.285389,96600
2016-08-30,38.840000,38.970001,38.590000,38.639999,36.089252,43300
2016-08-31,38.439999,38.439999,38.040001,38.200001,35.678295,177800
2016-09-01,38.230000,38.450001,38.130001,38.430000,35.893116,339800
2016-09-02,38.880001,39.080002,38.799999,38.970001,36.397472,54900
2016-09-06,39.200001,39.560001,39.200001,39.520000,36.911160,40500
2016-09-07,39.610001,39.650002,39.389999,39.570000,36.957859,68300
2016-09-08,39.500000,39.689999,39.299999,39.509998,36.901817,80000
2016-09-09,39.160000,39.160000,38.430000,38.439999,35.902451,58600
2016-09-12,38.009998,38.779999,38.000000,38.759998,36.201328,79700
2016-09-13,38.160000,38.160000,37.380001,37.540001,35.061871,175100
2016-09-14,37.570000,37.740002,37.330002,37.389999,34.921764,119800
2016-09-15,37.419998,37.860001,37.290001,37.709999,35.220646,1134900
2016-09-16,37.340000,37.490002,37.150002,37.279999,34.819027,132400
2016-09-19,37.730000,37.849998,37.509998,37.540001,35.061871,31700
2016-09-20,37.650002,37.750000,37.459999,37.529999,35.052528,561200
2016-09-21,37.740002,38.430000,37.730000,38.389999,35.855755,120400
2016-09-22,38.910000,39.180000,38.730000,38.799999,36.238689,92700
2016-09-23,38.630001,38.799999,38.419998,38.500000,35.958496,62300
2016-09-26,38.330002,38.480000,38.200001,38.220001,35.696976,60700
2016-09-27,38.009998,38.180000,37.810001,38.160000,35.640942,110200
2016-09-28,38.290001,39.009998,38.099998,39.009998,36.434830,132600
2016-09-29,39.160000,39.369999,38.779999,38.970001,36.397472,75400
2016-09-30,39.180000,39.310001,38.990002,39.119999,36.537563,104300
2016-10-03,39.180000,39.189999,38.980000,39.130001,36.546906,28400
2016-10-04,39.230000,39.230000,38.549999,38.639999,36.089252,236800
2016-10-05,38.830002,39.160000,38.830002,39.099998,36.518883,1025000
2016-10-06,38.930000,39.099998,38.860001,39.020000,36.444168,88800
2016-10-07,39.139999,39.220001,38.650002,38.939999,36.369450,81900
2016-10-10,39.189999,39.470001,39.189999,39.360001,36.761723,48100
2016-10-11,39.180000,39.180000,38.580002,38.700001,36.145294,83800
2016-10-12,38.700001,38.919998,38.619999,38.799999,36.238689,119400
2016-10-13,38.340000,38.610001,38.060001,38.470001,35.930477,147400
2016-10-14,38.660000,38.820000,38.369999,38.369999,35.837074,27200
2016-10-17,38.380001,38.500000,38.310001,38.349998,35.818398,29200
2016-10-18,38.900002,38.950001,38.709999,38.900002,36.332092,59700
2016-10-19,39.049999,39.290001,38.970001,39.209999,36.621624,2037900
2016-10-20,39.000000,39.240002,38.830002,39.150002,36.565586,249800
2016-10-21,38.910000,39.189999,38.849998,39.160000,36.574921,136500
2016-10-24,39.259998,39.259998,38.799999,39.020000,36.444168,78900
2016-10-25,39.250000,39.450001,39.169998,39.259998,36.668320,340400
2016-10-26,39.099998,39.250000,38.910000,39.070000,36.490868,75700
2016-10-27,39.209999,39.270000,38.970001,38.970001,36.397472,392200
2016-10-28,38.910000,39.240002,38.869999,39.009998,36.434830,48700
2016-10-31,39.020000,39.169998,38.930000,39.080002,36.500206,66200
2016-11-01,39.169998,39.410000,38.889999,39.080002,36.500206,94700
2016-11-02,39.259998,39.259998,38.880001,38.939999,36.369450,209400
2016-11-03,38.900002,39.080002,38.790001,38.910000,36.341427,138500
2016-11-04,38.730000,38.820000,38.549999,38.619999,36.070572,85100
2016-11-07,39.169998,39.330002,39.099998,39.330002,36.733704,64200
2016-11-08,39.279999,39.750000,39.250000,39.630001,37.013901,117300
2016-11-09,39.320000,40.369999,39.320000,40.189999,37.536926,274400
2016-11-10,40.580002,40.660000,40.119999,40.299999,37.639668,426500
2016-11-11,40.160000,40.160000,39.279999,39.520000,36.911160,101300
2016-11-14,39.459999,39.630001,39.230000,39.619999,37.004559,118700
2016-11-15,39.270000,39.959999,39.160000,39.930000,37.294098,78400
2016-11-16,39.650002,39.709999,39.400002,39.529999,36.920502,141300
2016-11-17,39.689999,39.900002,39.480000,39.580002,36.967201,165800
2016-11-18,39.419998,39.560001,39.250000,39.509998,36.901817,139800
2016-11-21,39.880001,40.180000,39.880001,40.160000,37.508907,307100
2016-11-22,40.450001,40.689999,40.349998,40.680000,37.994587,118600
2016-11-23,40.410000,40.660000,40.230000,40.650002,37.966568,60400
2016-11-25,40.820000,40.820000,40.680000,40.770000,38.078644,35100
2016-11-28,40.639999,40.720001,40.500000,40.540001,37.863827,79300
2016-11-29,40.270000,40.369999,39.980000,40.230000,37.574287,76800
2016-11-30,40.439999,40.810001,40.439999,40.669998,37.985241,294700
2016-12-01,41.009998,41.279999,40.869999,40.959999,38.256107,673400
2016-12-02,40.959999,41.220001,40.880001,41.169998,38.452240,155300
2016-12-05,41.369999,41.799999,41.340000,41.700001,38.947254,148100
2016-12-06,41.619999,41.849998,41.520000,41.830002,39.068668,145400
2016-12-07,42.029999,42.439999,42.029999,42.400002,39.601048,310900
2016-12-08,42.439999,42.730000,42.380001,42.619999,39.806519,136400
2016-12-09,42.500000,42.570000,42.330002,42.540001,39.731804,163300
2016-12-12,42.820000,43.009998,42.529999,42.610001,39.797184,153400
2016-12-13,42.740002,42.759998,42.330002,42.560001,39.750481,91700
2016-12-14,42.450001,42.580002,41.619999,41.650002,38.900555,102100
2016-12-15,41.419998,41.590000,41.150002,41.509998,38.769794,212200
2016-12-16,41.020000,41.189999,40.970001,41.080002,38.727104,56100
2016-12-19,41.000000,41.000000,40.740002,40.740002,38.406582,88100
2016-12-20,40.880001,41.049999,40.849998,41.040001,38.689396,116100
