Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,25.680000,25.700001,25.559999,25.590000,23.177979,2786400
2015-12-31,25.490000,25.570000,25.370001,25.400000,23.005882,1793300
2016-01-04,24.950001,25.010000,24.750000,25.010000,22.652645,1544500
2016-01-05,25.040001,25.070000,24.900000,25.059999,22.697931,2966900
2016-01-06,24.559999,24.700001,24.450001,24.610001,22.290350,1716600
2016-01-07,24.070000,24.309999,23.879999,23.910000,21.656324,2232800
2016-01-08,24.150000,24.209999,23.639999,23.700001,21.466122,2116300
2016-01-11,23.990000,24.000000,23.580000,23.879999,21.629152,1673700
2016-01-12,24.110001,24.139999,23.770000,24.020000,21.755959,1824100
2016-01-13,24.250000,24.250000,23.559999,23.639999,21.411776,2254000
2016-01-14,23.730000,24.080000,23.510000,23.959999,21.701614,1980000
2016-01-15,23.070000,23.290001,22.910000,23.120001,20.940792,2167700
2016-01-19,23.559999,23.590000,23.160000,23.340000,21.140053,2817700
2016-01-20,22.850000,22.980000,22.330000,22.820000,20.669067,4653000
2016-01-21,22.840000,23.170000,22.639999,22.959999,20.795870,3869400
2016-01-22,23.600000,23.820000,23.570000,23.809999,21.565754,2209200
2016-01-25,23.590000,23.680000,23.400000,23.420000,21.212511,2209600
2016-01-26,23.610001,23.820000,23.530001,23.799999,21.556694,1609000
2016-01-27,23.719999,24.030001,23.549999,23.650000,21.420834,1707900
2016-01-28,23.790001,23.830000,23.440001,23.639999,21.411776,1866000
2016-01-29,23.910000,24.330000,23.910000,24.330000,22.036739,2825800
2016-02-01,24.059999,24.230000,23.920000,24.139999,21.864647,2462900
2016-02-02,23.850000,23.850000,23.469999,23.570000,21.348373,2667100
2016-02-03,23.590000,23.590000,22.980000,23.379999,21.176283,2657500
2016-02-04,23.170000,23.410000,23.040001,23.280001,21.085711,1942100
2016-02-05,23.290001,23.320000,22.910000,23.000000,20.832102,2539200
2016-02-08,22.660000,22.660000,22.260000,22.490000,20.370171,3384100
2016-02-09,21.889999,22.200001,21.820000,22.080000,19.998817,2913700
2016-02-10,22.190001,22.430000,21.889999,21.920000,19.853897,2688200
2016-02-11,21.540001,21.690001,21.320000,21.570000,19.536886,5471600
2016-02-12,21.709999,22.059999,21.600000,22.059999,19.980701,8522600
2016-02-16,22.620001,22.730000,22.469999,22.730000,20.587551,2771600
2016-02-17,22.980000,23.170000,22.940001,23.120001,20.940792,1795800
2016-02-18,23.250000,23.260000,22.959999,23.000000,20.832102,1249100
2016-02-19,22.860001,22.920000,22.740000,22.889999,20.732470,950600
2016-02-22,23.240000,23.360001,23.240000,23.299999,21.103823,1013900
2016-02-23,23.129999,23.170000,22.879999,22.889999,20.732470,1164400
2016-02-24,22.530001,22.900000,22.379999,22.879999,20.723410,1358600
2016-02-25,23.030001,23.180000,22.920000,23.180000,20.995134,983000
2016-02-26,23.370001,23.459999,23.270000,23.270000,21.076651,2025500
2016-02-29,23.270000,23.330000,23.120001,23.120001,20.940792,1439100
2016-03-01,23.490000,23.799999,23.430000,23.740000,21.502348,1229300
2016-03-02,23.760000,23.860001,23.670000,23.830000,21.583866,1205400
2016-03-03,23.889999,23.950001,23.799999,23.930000,21.674444,1599500
