Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,21.770000,21.780001,21.680000,21.690001,19.157518,357400
2015-12-31,21.629999,21.670000,21.520000,21.520000,19.007370,103100
2016-01-04,21.150000,21.160000,20.900000,21.160000,18.689398,81800
2016-01-05,21.070000,21.090000,20.930000,21.020000,18.565748,110700
2016-01-06,20.670000,20.750000,20.600000,20.719999,18.300774,44400
2016-01-07,20.440001,20.440001,20.180000,20.200001,17.841488,169600
2016-01-08,20.500000,20.500000,19.959999,20.020000,17.682507,229900
2016-01-11,20.260000,20.260000,19.879999,20.030001,17.691336,112600
2016-01-12,20.240000,20.299999,19.990000,20.139999,17.788494,50600
2016-01-13,20.450001,20.450001,19.809999,19.850000,17.532352,163000
2016-01-14,20.040001,20.219999,20.010000,20.150000,17.797327,31000
2016-01-15,19.719999,19.719999,19.280001,19.430000,17.161390,42000
2016-01-19,19.770000,19.780001,19.490000,19.650000,17.355709,60000
2016-01-20,19.430000,19.430000,18.860001,19.230000,16.984745,180200
2016-01-21,19.270000,19.450001,19.030001,19.320000,17.064234,120300
2016-01-22,19.820000,19.940001,19.770000,19.940001,17.611847,54500
2016-01-25,19.889999,19.889999,19.680000,19.680000,17.382206,81500
2016-01-26,19.870001,20.129999,19.860001,20.129999,17.779659,302200
2016-01-27,20.190001,20.299999,19.910000,19.959999,17.629509,452900
2016-01-28,20.299999,20.309999,20.030001,20.209999,17.850319,180000
2016-01-29,20.370001,20.629999,20.370001,20.629999,18.221279,129600
2016-02-01,20.440001,20.600000,20.379999,20.540001,18.141790,139500
2016-02-02,20.230000,20.250000,19.969999,20.010000,17.673670,191100
2016-02-03,20.209999,20.309999,19.820000,20.309999,17.938644,123900
2016-02-04,20.379999,20.540001,20.350000,20.400000,18.018141,37100
2016-02-05,20.389999,20.410000,20.139999,20.219999,17.859154,25700
2016-02-08,19.910000,19.910000,19.600000,19.799999,17.488192,414600
2016-02-09,19.520000,19.610001,19.340000,19.480000,17.205553,95300
2016-02-10,19.639999,19.740000,19.459999,19.490000,17.214384,240200
2016-02-11,19.250000,19.299999,19.030001,19.209999,16.967077,109600
2016-02-12,19.379999,19.570000,19.270000,19.559999,17.276215,67200
2016-02-16,19.980000,20.030001,19.830000,20.030001,17.691336,62900
2016-02-17,20.160000,20.389999,20.160000,20.370001,17.991642,41500
2016-02-18,20.469999,20.469999,20.280001,20.299999,17.929813,228800
2016-02-19,20.230000,20.320000,20.120001,20.299999,17.929813,37000
2016-02-22,20.540001,20.620001,20.540001,20.620001,18.212452,49300
2016-02-23,20.430000,20.490000,20.219999,20.240000,17.876814,138800
2016-02-24,19.889999,20.190001,19.780001,20.190001,17.832657,410100
2016-02-25,20.230000,20.420000,20.180000,20.400000,18.018141,53400
2016-02-26,20.459999,20.500000,20.260000,20.290001,17.920982,147700
2016-02-29,20.309999,20.490000,20.309999,20.370001,17.991642,52800
2016-03-01,20.620001,20.910000,20.600000,20.889999,18.450924,51300
