Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,47.160000,47.250000,46.860001,46.910000,44.504387,446900
2015-12-31,46.790001,46.849998,46.470001,46.490002,44.105930,87100
2016-01-04,45.810001,46.060001,45.310001,45.900002,43.546185,53300
2016-01-05,45.980000,45.980000,45.509998,45.860001,43.508236,84600
2016-01-06,45.150002,45.279999,44.689999,44.959999,42.654381,44000
2016-01-07,44.160000,44.709999,44.000000,44.070000,41.810028,153400
2016-01-08,44.360001,44.500000,43.689999,43.779999,41.534897,80300
2016-01-11,44.020000,44.110001,43.130001,43.430000,41.202847,111100
2016-01-12,43.919998,43.959999,43.270000,43.779999,41.534897,103500
2016-01-13,44.099998,44.180000,43.000000,43.049999,40.842331,73800
2016-01-14,43.160000,43.869999,42.650002,43.639999,41.402077,776400
2016-01-15,42.639999,42.910000,42.180000,42.740002,40.548229,80700
2016-01-19,42.950001,43.240002,42.169998,42.540001,40.358486,73200
2016-01-20,41.790001,42.340000,40.919998,42.020000,39.865150,124700
2016-01-21,41.919998,42.639999,41.650002,42.259998,40.092842,102300
2016-01-22,43.029999,43.560001,42.830002,43.000000,40.794895,257700
2016-01-25,42.820000,42.820000,41.900002,41.910000,39.760792,164700
2016-01-26,42.080002,42.689999,42.049999,42.599998,40.415409,51700
2016-01-27,42.700001,43.099998,42.259998,42.450001,40.273102,61100
2016-01-28,42.750000,42.930000,42.330002,42.849998,40.652588,74500
2016-01-29,43.189999,43.939999,43.189999,43.919998,41.667717,139200
2016-02-01,43.700001,43.950001,43.349998,43.820000,41.572845,108400
2016-02-02,43.470001,43.470001,42.639999,42.680000,40.491306,344300
2016-02-03,43.110001,43.459999,42.470001,43.450001,41.221821,421600
2016-02-04,43.349998,44.340000,43.349998,44.099998,41.838486,176000
2016-02-05,44.209999,44.400002,43.810001,43.970001,41.715153,60100
2016-02-08,43.619999,43.770000,42.930000,43.320000,41.098488,64600
2016-02-09,42.860001,43.340000,42.750000,43.189999,40.975155,79400
2016-02-10,43.400002,43.529999,42.840000,42.869999,40.671562,95100
2016-02-11,42.400002,42.529999,41.970001,42.220001,40.054897,133300
2016-02-12,42.410000,42.730000,42.099998,42.700001,40.510284,56600
2016-02-16,43.200001,43.419998,42.860001,43.419998,41.193359,83800
2016-02-17,43.730000,44.520000,43.730000,44.419998,42.142078,70100
2016-02-18,44.400002,44.529999,44.169998,44.389999,42.113613,66000
2016-02-19,44.040001,44.040001,43.669998,43.689999,41.449512,83600
2016-02-22,44.270000,44.529999,44.230000,44.480000,42.199001,53100
2016-02-23,44.189999,44.250000,43.790001,43.889999,41.639256,30600
2016-02-24,43.450001,44.160000,43.150002,44.130001,41.866947,27900
2016-02-25,44.150002,44.580002,43.980000,44.560001,42.274899,72800
2016-02-26,44.799999,44.990002,44.639999,44.700001,42.407715,49500
2016-02-29,44.720001,45.099998,44.599998,44.610001,42.322334,69900
2016-03-01,44.959999,45.580002,44.820000,45.439999,43.109768,59500
2016-03-02,45.180000,45.470001,45.029999,45.450001,43.119259,160400
2016-03-03,45.509998,46.060001,45.509998,46.040001,43.679001,54300
2016-03-04,46.220001,46.680000,46.060001,46.459999,44.077461,83600
2016-03-07,46.110001,46.970001,46.110001,46.820000,44.419003,80500
2016-03-08,46.630001,46.630001,46.020000,46.200001,43.830795,40200
2016-03-09,46.500000,46.709999,46.369999,46.500000,44.115414,47600
2016-03-10,46.549999,46.599998,45.790001,46.150002,43.783360,39800
2016-03-11,46.520000,47.020000,46.520000,47.000000,44.589771,58900
2016-03-14,46.790001,46.889999,46.709999,46.840000,44.437977,16300
2016-03-15,46.450001,46.450001,46.169998,46.299999,43.925667,42300
2016-03-16,46.099998,46.779999,46.099998,46.720001,44.324131,44900
2016-03-17,46.830002,47.529999,46.830002,47.369999,44.940796,50400
2016-03-18,47.369999,47.470001,47.220001,47.349998,44.921822,41100
2016-03-21,47.180000,47.400002,47.150002,47.330002,44.902847,63800
2016-03-22,47.110001,47.320000,47.000000,47.180000,44.760540,26500
2016-03-23,47.139999,47.139999,46.590000,46.650002,44.257721,32700
2016-03-24,46.349998,46.389999,46.150002,46.389999,44.011055,41500
2016-03-28,46.500000,46.689999,46.380001,46.599998,44.210285,51700
2016-03-29,46.369999,47.080002,46.270000,47.080002,44.665668,48500
