Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,19.900000,19.940001,19.799999,19.799999,15.708817,326700
2015-12-31,19.719999,19.850000,19.700001,19.719999,15.645342,245100
2016-01-04,19.440001,19.629999,19.260000,19.469999,15.447001,121300
2016-01-05,19.440001,19.559999,19.340000,19.540001,15.502539,164100
2016-01-06,19.250000,19.340000,19.200001,19.260000,15.280396,228600
2016-01-07,18.900000,19.030001,18.790001,18.799999,14.915438,412900
2016-01-08,18.950001,18.950001,18.590000,18.629999,14.780565,229700
2016-01-11,18.740000,18.760000,18.520000,18.650000,14.796434,193400
2016-01-12,18.790001,18.790001,18.440001,18.600000,14.756765,178800
2016-01-13,18.650000,18.690001,18.139999,18.219999,14.455284,392200
2016-01-14,18.250000,18.469999,18.059999,18.340000,14.550484,320900
2016-01-15,17.790001,17.840000,17.520000,17.709999,14.050659,343800
2016-01-19,17.959999,18.000000,17.660000,17.740000,14.074462,238500
2016-01-20,17.520000,17.620001,17.010000,17.469999,13.860252,643900
2016-01-21,17.469999,17.780001,17.360001,17.590000,13.955452,212200
2016-01-22,17.969999,18.100000,17.900000,18.080000,14.344210,327700
2016-01-25,18.010000,18.049999,17.760000,17.770000,14.098267,127800
2016-01-26,17.889999,18.120001,17.820000,18.100000,14.360080,1146200
2016-01-27,18.090000,18.250000,17.900000,17.969999,14.256939,175000
2016-01-28,18.170000,18.290001,18.049999,18.180000,14.423549,184600
2016-01-29,18.260000,18.510000,18.250000,18.500000,14.677429,225100
2016-02-01,18.330000,18.490000,18.250000,18.410000,14.701784,142000
2016-02-02,18.219999,18.260000,17.980000,18.030001,14.398328,129100
2016-02-03,18.180000,18.350000,17.920000,18.309999,14.621923,148400
2016-02-04,18.280001,18.490000,18.280001,18.350000,14.653868,152400
2016-02-05,18.330000,18.330000,18.059999,18.100000,14.454226,81700
2016-02-08,17.969999,17.969999,17.650000,17.820000,14.230621,242600
2016-02-09,17.540001,17.629999,17.370001,17.500000,13.975079,204600
2016-02-10,17.629999,17.639999,17.450001,17.459999,13.943136,162200
2016-02-11,17.330000,17.330000,17.110001,17.260000,13.783422,303300
2016-02-12,17.389999,17.530001,17.299999,17.510000,13.983064,155000
2016-02-16,17.709999,17.850000,17.610001,17.830000,14.238608,188100
2016-02-17,17.920000,18.200001,17.920000,18.190001,14.526099,178000
2016-02-18,18.260000,18.280001,18.129999,18.150000,14.494151,141200
2016-02-19,18.080000,18.180000,18.020000,18.150000,14.494151,136500
2016-02-22,18.290001,18.459999,18.290001,18.430000,14.717754,208300
2016-02-23,18.280001,18.400000,18.219999,18.230000,14.558041,230500
2016-02-24,17.990000,18.219999,17.820000,18.200001,14.534084,130500
2016-02-25,18.270000,18.400000,18.200001,18.389999,14.685817,161800
2016-02-26,18.420000,18.500000,18.299999,18.320000,14.629912,344800
2016-02-29,18.340000,18.580000,18.340000,18.440001,14.725744,182800
2016-03-01,18.450001,18.650000,18.389999,18.620001,14.967293,470600
2016-03-02,18.549999,18.830000,18.540001,18.830000,15.136089,151700
2016-03-03,18.920000,19.219999,18.860001,19.219999,15.449589,166800
2016-03-04,19.340000,19.600000,19.299999,19.459999,15.642506,211900
2016-03-07,19.389999,19.680000,19.370001,19.620001,15.771122,175500
2016-03-08,19.580000,19.580000,19.230000,19.260000,15.481740,157900
2016-03-09,19.379999,19.490000,19.350000,19.420000,15.610357,141800
2016-03-10,19.440001,19.559999,19.150000,19.340000,15.546052,170900
2016-03-11,19.620001,19.860001,19.620001,19.860001,15.964037,157900
2016-03-14,19.790001,19.790001,19.629999,19.719999,15.851506,142800
2016-03-15,19.520000,19.520000,19.320000,19.400000,15.594283,144500
2016-03-16,19.379999,19.820000,19.379999,19.820000,15.931885,84300
2016-03-17,19.879999,20.299999,19.879999,20.230000,16.261454,108700
2016-03-18,20.260000,20.330000,20.160000,20.170000,16.213234,105700
2016-03-21,20.100000,20.230000,20.080000,20.129999,16.181070,125300
2016-03-22,20.010000,20.200001,20.000000,20.160000,16.205189,65700
2016-03-23,20.049999,20.049999,19.700001,19.709999,15.843468,160900
2016-03-24,19.559999,19.700001,19.469999,19.690001,15.827389,97900
2016-03-28,19.820000,19.820000,19.650000,19.740000,15.867581,77100
2016-03-29,19.719999,20.090000,19.580000,20.070000,16.132841,112000
2016-03-30,20.180000,20.330000,20.139999,20.170000,16.213234,140500
2016-03-31,20.170000,20.230000,20.160000,20.190001,16.229301,90800
2016-04-01,19.850000,19.930000,19.700001,19.920000,16.108408,152700
2016-04-04,19.920000,19.920000,19.690001,19.700001,15.930508,83800
2016-04-05,19.559999,19.559999,19.379999,19.510000,15.776861,689200
2016-04-06,19.540001,19.709999,19.480000,19.690001,15.922416,80400
2016-04-07,19.590000,19.620001,19.430000,19.510000,15.776861,98200
2016-04-08,19.690001,19.840000,19.690001,19.730000,15.954761,81700
2016-04-11,19.840000,20.049999,19.840000,19.920000,16.108408,138800
2016-04-12,20.040001,20.299999,19.980000,20.240000,16.367176,211000
2016-04-13,20.350000,20.420000,20.270000,20.389999,16.488480,155600
2016-04-14,20.430000,20.480000,20.370001,20.400000,16.496567,81500
2016-04-15,20.410000,20.530001,20.400000,20.459999,16.545084,247700
2016-04-18,20.410000,20.610001,20.350000,20.540001,16.609777,110800
2016-04-19,20.700001,20.820000,20.650000,20.809999,16.828108,141100
2016-04-20,20.830000,20.920000,20.750000,20.809999,16.828108,121800
2016-04-21,20.860001,20.860001,20.559999,20.600000,16.658287,114000
2016-04-22,20.639999,20.730000,20.610001,20.700001,16.739161,126400
2016-04-25,20.650000,20.650000,20.549999,20.600000,16.658287,109000
2016-04-26,20.719999,20.799999,20.690001,20.799999,16.820023,56900
2016-04-27,20.760000,20.830000,20.660000,20.799999,16.820023,78700
2016-04-28,20.780001,20.889999,20.670000,20.700001,16.739161,270600
2016-04-29,20.709999,20.780001,20.549999,20.719999,16.755333,93100
2016-05-02,20.730000,20.730000,20.530001,20.639999,16.788271,94200
2016-05-03,20.510000,20.520000,20.270000,20.370001,16.568663,115800
2016-05-04,20.170000,20.340000,20.170000,20.320000,16.527985,90100
2016-05-05,20.420000,20.469999,20.280001,20.370001,16.568663,84900
2016-05-06,20.219999,20.480000,20.219999,20.480000,16.658133,70600
2016-05-09,20.530001,20.580000,20.370001,20.530001,16.698803,128100
2016-05-10,20.680000,20.740000,20.600000,20.730000,16.861481,111200
2016-05-11,20.700001,20.760000,20.610001,20.660000,16.804537,112500
2016-05-12,20.840000,20.840000,20.530001,20.639999,16.788271,94000
2016-05-13,20.570000,20.590000,20.430000,20.450001,16.633728,140600
2016-05-16,20.530001,20.680000,20.500000,20.660000,16.804537,107600
2016-05-17,20.660000,20.750000,20.469999,20.520000,16.690666,359400
2016-05-18,20.459999,20.520000,20.129999,20.219999,16.446651,130000
2016-05-19,20.139999,20.139999,19.950001,20.120001,16.365316,193600
2016-05-20,20.209999,20.309999,20.200001,20.309999,16.519854,95700
2016-05-23,20.250000,20.280001,20.170000,20.219999,16.446651,105200
2016-05-24,20.240000,20.379999,20.230000,20.360001,16.560524,125900
2016-05-25,20.500000,20.559999,20.370001,20.549999,16.715073,168000
2016-05-26,20.549999,20.639999,20.540001,20.580000,16.739475,83700
2016-05-27,20.620001,20.639999,20.559999,20.620001,16.772007,264400
2016-05-31,20.639999,20.709999,20.540001,20.620001,16.772007,387600
2016-06-01,20.459999,20.549999,20.360001,20.549999,16.813326,95000
2016-06-02,20.450001,20.600000,20.450001,20.590000,16.846052,132400
2016-06-03,20.690001,20.809999,20.660000,20.799999,17.017866,167800
2016-06-06,20.840000,20.950001,20.840000,20.889999,17.091501,111100
2016-06-07,20.980000,21.090000,20.969999,21.020000,17.197868,170300
2016-06-08,21.070000,21.160000,21.059999,21.150000,17.304228,102000
2016-06-09,21.040001,21.110001,20.980000,21.080000,17.246952,97800
2016-06-10,20.930000,20.940001,20.690001,20.730000,16.960598,216000
2016-06-13,20.629999,20.690001,20.450001,20.469999,16.747871,293600
2016-06-14,20.450001,20.450001,20.200001,20.299999,16.608786,207100
2016-06-15,20.400000,20.540001,20.340000,20.420000,16.706963,1450900
2016-06-16,20.290001,20.459999,20.080000,20.459999,16.739691,457700
2016-06-17,20.520000,20.639999,20.520000,20.590000,16.846052,110200
2016-06-20,20.910000,20.969999,20.840000,20.850000,17.058769,127200
2016-06-21,20.889999,20.959999,20.799999,20.879999,17.083319,64100
2016-06-22,20.950001,20.950001,20.770000,20.790001,17.009686,142700
2016-06-23,21.020000,21.120001,20.950001,21.110001,17.271496,266000
2016-06-24,20.120001,20.540001,20.040001,20.260000,16.576050,550400
2016-06-27,20.139999,20.139999,19.680000,19.780001,16.183336,341800
2016-06-28,20.150000,20.299999,20.110001,20.270000,16.584236,1809100
2016-06-29,20.500000,20.639999,20.450001,20.600000,16.854229,319000
2016-06-30,20.639999,20.820000,20.510000,20.809999,17.026045,213500
2016-07-01,20.740000,20.830000,20.730000,20.799999,17.116982,189700
2016-07-05,20.590000,20.650000,20.400000,20.450001,16.828959,174500
2016-07-06,20.360001,20.549999,20.260000,20.549999,16.911251,169100
2016-07-07,20.600000,20.650000,20.370001,20.430000,16.812492,112000
2016-07-08,20.650000,20.790001,20.610001,20.760000,17.084064,171400
2016-07-11,20.799999,21.000000,20.799999,20.950001,17.240421,176000
2016-07-12,21.180000,21.290001,21.129999,21.190001,17.437920,271200
2016-07-13,21.200001,21.250000,21.100000,21.180000,17.429695,187200
2016-07-14,21.360001,21.360001,21.230000,21.260000,17.495527,157300
2016-07-15,21.209999,21.250000,21.110001,21.219999,17.462608,186300
2016-07-18,21.209999,21.370001,21.170000,21.350000,17.569592,72600
2016-07-19,21.309999,21.309999,21.209999,21.260000,17.495527,97600
2016-07-20,21.370001,21.379999,21.209999,21.360001,17.577822,101300
2016-07-21,21.379999,21.459999,21.320000,21.340000,17.561363,105900
2016-07-22,21.370001,21.389999,21.309999,21.360001,17.577822,134800
2016-07-25,21.330000,21.379999,21.260000,21.299999,17.528448,114800
2016-07-26,21.350000,21.430000,21.290001,21.330000,17.553133,168200
2016-07-27,21.370001,21.379999,21.129999,21.290001,17.520218,441300
2016-07-28,21.280001,21.400000,21.250000,21.389999,17.602509,67700
2016-07-29,21.450001,21.670000,21.450001,21.650000,17.816477,370300
2016-08-01,21.520000,21.530001,21.379999,21.410000,17.717583,224700
2016-08-02,21.379999,21.430000,21.209999,21.250000,17.585180,280400
2016-08-03,21.190001,21.290001,21.030001,21.290001,17.618279,120700
2016-08-04,21.350000,21.410000,21.260000,21.379999,17.692759,103000
2016-08-05,21.420000,21.549999,21.360001,21.520000,17.808611,128200
2016-08-08,21.530001,21.639999,21.530001,21.600000,17.874813,124300
2016-08-09,21.629999,21.730000,21.620001,21.700001,17.957573,198700
2016-08-10,21.780001,21.830000,21.680000,21.709999,17.965843,153300
2016-08-11,21.750000,21.750000,21.650000,21.730000,17.982397,194900
2016-08-12,21.690001,21.820000,21.650000,21.670000,17.932737,124100
2016-08-15,21.740000,21.870001,21.740000,21.799999,18.040321,167600
2016-08-16,21.790001,21.790001,21.680000,21.690001,17.949299,276000
2016-08-17,21.650000,21.660000,21.459999,21.620001,17.891373,197100
2016-08-18,21.600000,21.770000,21.570000,21.660000,17.924467,235400
2016-08-19,21.510000,21.620001,21.490000,21.620001,17.891373,146200
2016-08-22,21.570000,21.629999,21.510000,21.629999,17.899639,140400
2016-08-23,21.760000,21.830000,21.740000,21.760000,18.007221,139300
2016-08-24,21.740000,21.770000,21.600000,21.620001,17.891373,204000
2016-08-25,21.620001,21.719999,21.610001,21.650000,17.916191,145300
2016-08-26,21.709999,21.840000,21.370001,21.450001,17.750687,257200
2016-08-29,21.450001,21.559999,21.440001,21.540001,17.825161,134600
2016-08-30,21.549999,21.570000,21.469999,21.520000,17.808611,143300
2016-08-31,21.459999,21.510000,21.360001,21.469999,17.767233,148000
2016-09-01,21.389999,21.389999,21.209999,21.340000,17.759327,145600
2016-09-02,21.459999,21.590000,21.400000,21.559999,17.942415,99400
2016-09-06,21.610001,21.750000,21.570000,21.740000,18.092216,314500
2016-09-07,21.770000,21.860001,21.750000,21.860001,18.192081,108600
2016-09-08,21.850000,21.900000,21.790001,21.860001,18.192081,126100
2016-09-09,21.660000,21.660000,21.120001,21.120001,17.576246,300600
2016-09-12,20.940001,21.309999,20.900000,21.250000,17.684427,339600
2016-09-13,21.040001,21.040001,20.650000,20.740000,17.260004,302500
2016-09-14,20.799999,20.940001,20.760000,20.799999,17.309940,145000
2016-09-15,20.780001,20.980000,20.760000,20.930000,17.418125,126900
2016-09-16,20.820000,20.889999,20.760000,20.860001,17.359871,102500
2016-09-19,20.950001,21.160000,20.950001,21.080000,17.542959,137600
2016-09-20,21.180000,21.190001,21.080000,21.080000,17.542959,75000
2016-09-21,21.180000,21.400000,21.059999,21.370001,17.784300,90700
2016-09-22,21.540001,21.650000,21.540001,21.639999,18.008984,156100
2016-09-23,21.530001,21.590000,21.490000,21.510000,17.900803,126200
2016-09-26,21.420000,21.540001,21.420000,21.430000,17.834229,104500
2016-09-27,21.370001,21.469999,21.320000,21.400000,17.809261,127700
2016-09-28,21.490000,21.639999,21.340000,21.620001,17.992350,143700
2016-09-29,21.590000,21.639999,21.340000,21.410000,17.817579,168800
2016-09-30,21.459999,21.549999,21.400000,21.469999,17.867516,148600
2016-10-03,21.360001,21.360001,21.200001,21.280001,17.809349,116600
2016-10-04,21.280001,21.280001,20.870001,20.950001,17.533171,215900
2016-10-05,20.980000,21.020000,20.850000,20.860001,17.457853,231500
2016-10-06,20.780001,20.790001,20.629999,20.730000,17.349051,126200
2016-10-07,20.730000,20.790001,20.500000,20.629999,17.265362,193500
2016-10-10,20.700001,20.870001,20.700001,20.790001,17.399263,63100
2016-10-11,20.700001,20.700001,20.459999,20.530001,17.181669,208800
2016-10-12,20.559999,20.670000,20.500000,20.610001,17.248625,90100
2016-10-13,20.480000,20.700001,20.459999,20.639999,17.273729,95500
2016-10-14,20.799999,20.830000,20.650000,20.660000,17.290468,136200
2016-10-17,20.639999,20.680000,20.559999,20.570000,17.215153,100800
2016-10-18,20.780001,20.879999,20.730000,20.820000,17.424372,62000
2016-10-19,20.870001,20.980000,20.820000,20.930000,17.516438,191400
2016-10-20,20.920000,20.920000,20.760000,20.860001,17.457853,100800
2016-10-21,20.750000,20.850000,20.730000,20.840000,17.441113,65700
2016-10-24,20.900000,20.930000,20.770000,20.860001,17.457853,73400
2016-10-25,20.900000,20.930000,20.840000,20.860001,17.457853,134700
2016-10-26,20.790001,20.820000,20.670000,20.709999,17.332315,179100
2016-10-27,20.760000,20.760000,20.450001,20.450001,17.114721,166300
2016-10-28,20.450001,20.510000,20.309999,20.350000,17.031031,306500
