Date,Open,High,Low,Close,Adj Close,Volume
2015-12-30,58.400002,58.400002,58.070000,58.119999,58.119999,1886400
2015-12-31,57.799999,58.049999,57.619999,57.619999,57.619999,1238100
2016-01-04,56.590000,56.650002,56.040001,56.650002,56.650002,1618600
2016-01-05,56.689999,56.750000,56.349998,56.660000,56.660000,2385100
2016-01-06,55.730000,56.080002,55.490002,55.820000,55.820000,976500
2016-01-07,54.860001,55.299999,54.439999,54.520000,54.520000,1267700
2016-01-08,54.950001,54.950001,53.779999,53.880001,53.880001,1641800
2016-01-11,54.270000,54.410000,53.400002,53.910000,53.910000,1529400
2016-01-12,54.320000,54.520000,53.610001,54.209999,54.209999,1907300
2016-01-13,54.459999,54.529999,52.849998,53.000000,53.000000,944400
2016-01-14,53.240002,54.150002,52.750000,53.860001,53.860001,2166200
2016-01-15,52.299999,52.669998,51.830002,52.349998,52.349998,1759300
2016-01-19,53.160000,53.230000,52.060001,52.509998,52.509998,1543300
2016-01-20,51.639999,52.049999,50.419998,51.669998,51.669998,2048100
2016-01-21,51.669998,52.459999,51.250000,51.970001,51.970001,1331600
2016-01-22,52.950001,53.320000,52.840000,53.270000,53.270000,1272700
2016-01-25,53.060001,53.110001,52.410000,52.439999,52.439999,1461700
2016-01-26,52.730000,53.360001,52.639999,53.320000,53.320000,892100
2016-01-27,53.180000,53.700001,52.590000,52.840000,52.840000,675200
2016-01-28,53.450001,53.450001,52.599998,53.020000,53.020000,744400
2016-01-29,53.320000,54.240002,53.310001,54.240002,54.240002,1468100
2016-02-01,53.910000,54.490002,53.740002,54.310001,54.310001,1486100
2016-02-02,53.520000,54.200001,52.900002,53.020000,53.020000,1313200
2016-02-03,53.459999,53.619999,52.360001,53.500000,53.500000,1592800
2016-02-04,53.349998,53.930000,53.250000,53.610001,53.610001,1194000
2016-02-05,53.380001,53.520000,52.520000,52.689999,52.689999,606900
2016-02-08,52.110001,52.150002,51.230000,51.840000,51.840000,1730200
2016-02-09,51.189999,51.849998,51.070000,51.470001,51.470001,1217200
2016-02-10,51.720001,52.240002,51.419998,51.500000,51.500000,1191600
2016-02-11,50.939999,51.029999,50.340000,50.810001,50.810001,2963800
2016-02-12,51.099998,51.750000,50.959999,51.709999,51.709999,322100
2016-02-16,52.430000,53.000000,52.110001,52.660000,52.660000,640700
2016-02-17,53.060001,53.759998,53.000000,53.689999,53.689999,1091100
2016-02-18,53.950001,53.980000,53.380001,53.459999,53.459999,739100
2016-02-19,53.070000,53.419998,52.939999,53.389999,53.389999,359100
2016-02-22,53.860001,54.270000,53.740002,54.200001,54.200001,5952000
2016-02-23,54.000000,54.020000,53.419998,53.439999,53.439999,986800
2016-02-24,52.860001,53.580002,52.490002,53.480000,53.480000,2221000
2016-02-25,53.650002,54.060001,53.430000,54.060001,54.060001,390900
2016-02-26,54.259998,54.450001,53.889999,53.990002,53.990002,530500
2016-02-29,54.000000,54.230000,53.630001,53.639999,53.639999,656000
2016-03-01,54.200001,55.000000,54.099998,55.000000,55.000000,765400
2016-03-02,54.980000,55.360001,54.810001,55.360001,55.360001,727500
2016-03-03,55.450001,55.820000,55.310001,55.820000,55.820000,682400
2016-03-04,55.980000,56.419998,55.840000,56.200001,56.200001,595600
2016-03-07,55.799999,56.340000,55.740002,56.200001,56.200001,685700
2016-03-08,55.849998,55.869999,55.389999,55.470001,55.470001,1267600
2016-03-09,55.730000,55.860001,55.570000,55.770000,55.770000,427100
2016-03-10,55.980000,56.290001,55.180000,55.709999,55.709999,732400
2016-03-11,56.389999,56.910000,56.369999,56.910000,56.910000,363900
2016-03-14,56.849998,56.900002,56.590000,56.779999,56.779999,455400
2016-03-15,56.169998,56.270000,55.950001,56.130001,56.130001,231700
2016-03-16,55.939999,56.779999,55.939999,56.720001,56.720001,325900
2016-03-17,56.700001,57.330002,56.599998,57.240002,57.240002,567200
2016-03-18,57.349998,57.480000,57.209999,57.340000,57.340000,348100
2016-03-21,57.299999,57.389999,57.110001,57.340000,57.340000,333600
2016-03-22,57.060001,57.369999,56.919998,57.240002,57.240002,2995100
2016-03-23,57.130001,57.130001,56.619999,56.669998,56.669998,744100
2016-03-24,56.250000,56.549999,56.130001,56.549999,56.549999,311400
2016-03-28,56.930000,56.930000,56.560001,56.750000,56.750000,956700
2016-03-29,56.570000,57.369999,56.410000,57.369999,57.369999,738800
2016-03-30,57.779999,57.970001,57.570000,57.720001,57.720001,630200
2016-03-31,57.680000,57.860001,57.599998,57.689999,57.689999,5020200
2016-04-01,57.000000,57.610001,56.790001,57.590000,57.590000,1185600
2016-04-04,57.619999,57.740002,57.279999,57.360001,57.360001,280600
2016-04-05,56.740002,56.799999,56.549999,56.599998,56.599998,329000
2016-04-06,56.660000,57.279999,56.549999,57.259998,57.259998,450500
2016-04-07,56.950001,57.049999,56.220001,56.410000,56.410000,4588900
